,state,county,candidate,party,total_votes,won,lat,lng,population,density
67,Florida,Santa Rosa,Donald Trump,REP,77385,True,30.4174,-86.8907,223951.0,625.0
68,Florida,Sarasota,Donald Trump,REP,148370,True,27.3387,-82.5432,727388.0,1518.0
69,Florida,Seminole,Joe Biden,DEM,132528,True,28.7891,-81.2757,60337.0,987.0
70,Florida,Sumter,Donald Trump,REP,62761,True,28.9034,-81.9887,119296.0,963.0
71,Florida,Suwannee,Donald Trump,REP,16410,True,30.2957,-82.9847,6929.0,350.0
72,Florida,Taylor,Donald Trump,REP,7751,True,30.109,-83.5821,6884.0,281.0
73,Florida,Union,Donald Trump,REP,5133,True,29.933,-82.4149,301.0,121.0
74,Florida,Volusia,Donald Trump,REP,173821,True,28.905,-81.2137,205914.0,950.0
75,Florida,Wakulla,Donald Trump,REP,12874,True,30.1996,-84.3634,4113.0,347.0
76,Florida,Walton,Donald Trump,REP,32947,True,30.3854,-86.3442,8815.0,484.0
77,Florida,Washington,Donald Trump,REP,9876,True,30.7752,-85.5406,3590.0,326.0
78,Georgia,Appling,Donald Trump,REP,6570,True,31.7641,-82.3509,4703.0,227.0
79,Georgia,Atkinson,Donald Trump,REP,2300,True,31.297,-82.8544,2017.0,232.0
80,Georgia,Bacon,Donald Trump,REP,4017,True,31.5432,-82.4745,3409.0,216.0
81,Georgia,Baker,Donald Trump,REP,897,True,31.3167,-84.3379,575.0,101.0
82,Georgia,Baldwin,Joe Biden,DEM,9140,True,33.0874,-83.2414,18526.0,351.0
83,Georgia,Banks,Donald Trump,REP,7795,True,34.3355,-83.4986,1595.0,62.0
84,Georgia,Barrow,Donald Trump,REP,26804,True,33.9917,-83.7218,17054.0,481.0
85,Georgia,Bartow,Donald Trump,REP,37672,True,34.1644,-84.8009,21331.0,287.0
86,Georgia,Ben Hill,Donald Trump,REP,4111,True,31.7134,-83.2514,8747.0,376.0
87,Georgia,Berrien,Donald Trump,REP,6419,True,31.2048,-83.2478,4820.0,383.0
88,Georgia,Bibb,Joe Biden,DEM,43408,True,32.8065,-83.6974,153026.0,236.0
89,Georgia,Bleckley,Donald Trump,REP,4329,True,32.3875,-83.3523,4945.0,405.0
90,Georgia,Brantley,Donald Trump,REP,6993,True,31.2065,-81.9814,1135.0,155.0
91,Georgia,Brooks,Donald Trump,REP,4261,True,30.7849,-83.5603,3720.0,347.0
92,Georgia,Bryan,Donald Trump,REP,14240,True,31.9012,-81.3125,13250.0,217.0
93,Georgia,Bulloch,Donald Trump,REP,18387,True,32.4375,-81.7751,32115.0,827.0
94,Georgia,Burke,Donald Trump,REP,5400,True,33.0909,-82.0145,5453.0,384.0
95,Georgia,Butts,Donald Trump,REP,8406,True,33.292,-83.9679,5138.0,326.0
96,Georgia,Calhoun,Joe Biden,DEM,1263,True,31.5381,-84.6033,2067.0,609.0
97,Georgia,Camden,Donald Trump,REP,15249,True,30.7567,-81.5722,18321.0,309.0
98,Georgia,Candler,Donald Trump,REP,3133,True,32.3958,-82.0621,3962.0,204.0
99,Georgia,Carroll,Donald Trump,REP,37476,True,33.5818,-85.0838,26857.0,462.0
100,Georgia,Catoosa,Donald Trump,REP,25167,True,34.9318,-85.246,9877.0,274.0
101,Georgia,Charlton,Donald Trump,REP,3419,True,30.8392,-82.0073,4853.0,447.0
102,Georgia,Chatham,Joe Biden,DEM,78247,True,32.0286,-81.1821,284429.0,525.0
103,Georgia,Chattahoochee,Donald Trump,REP,880,True,32.347,-84.787,10470.0,16.0
