state,county,Polarization Indicator,Mean,const
California,San Diego,3.1398609540130904,91.662,1
California,San Joaquin,2.5396025644905564,45.384,1
California,San Luis Obispo,2.3031937386405064,81.093,1
California,San Mateo,5.488642082072232,88.415,1
California,Santa Barbara,3.7411040702464966,80.327,1
California,Santa Clara,4.741286443084105,94.368,1
California,Santa Cruz,4.915814952319401,63.761,1
California,Shasta,3.8190353220537605,60.891,1
California,Sierra,2.665229497784772,21.163,1
California,Solano,3.5717601155974767,107.548,1
California,Sonoma,4.61347734536673,32.499,1
California,Stanislaus,0.5889229710655467,46.187,1
California,Tehama,3.9104321782416585,55.519,1
California,Tulare,1.9091500400640316,40.664,1
California,Ventura,3.1299968289762368,57.66,1
California,Yuba,2.7049372607443223,45.763,1
Colorado,Adams,2.3676423031415372,76.902,1
Colorado,Arapahoe,3.0536823154287167,117.162,1
Colorado,Baca,6.148567154124649,47.555,1
Colorado,Bent,4.44626031280567,47.822,1
Colorado,Boulder,5.078198497290255,149.502,1
Colorado,Chaffee,1.6733200530681511,55.052,1
Colorado,Cheyenne,8.475454756727412,47.895,1
Colorado,Clear Creek,2.115108557622118,58.245,1
Colorado,Douglas,1.7110201202815987,90.612,1
Colorado,Eagle,3.6298426378780633,86.272,1
Colorado,El Paso,1.7040851651252644,113.743,1
Colorado,Fremont,3.8889196412570666,60.24,1
Colorado,Garfield,0.9665456669582609,74.969,1
Colorado,Grand,0.7902839593855451,50.812,1
Colorado,Gunnison,3.2429967412529246,66.372,1
Colorado,Jefferson,2.576209440915041,85.644,1
Colorado,Kit Carson,6.179370144651911,43.753,1
Colorado,Larimer,2.2685964702904124,98.874,1
Colorado,Mineral,3.0276503540974917,44.307,1
Colorado,Montezuma,3.1133161468388653,50.063,1
Colorado,Morgan,4.559505555330634,53.923,1
Colorado,Park,2.2962419891481978,49.817,1
Colorado,Pueblo,0.8173933374648145,33.48,1
Colorado,Rio Grande,2.786873995477131,10.946,1
Colorado,Routt,3.5525478471038303,50.507,1
Colorado,Sedgwick,5.84522597225006,40.647,1
Colorado,Summit,3.7276584154610273,89.735,1
Colorado,Weld,2.513244363096715,91.927,1
Colorado,Yuma,6.109487924255945,57.309,1
Connecticut,Fairfield,4.644873550421066,87.608,1
Connecticut,Litchfield,1.0173926082384548,87.676,1
Connecticut,New Haven,8.217586971379367,75.846,1
Connecticut,New London,5.414727796337849,118.213,1
Connecticut,Tolland,2.5103139201409914,119.346,1
Connecticut,Windham,3.997640813713971,62.452,1
Delaware,Kent,1.5556612636474287,68.711,1
Delaware,New Castle,5.018737029327155,87.98,1
Delaware,Sussex,3.1784867119083224,58.812,1
Florida,Alachua,4.482099019238337,39.023,1
Florida,Baker,9.431593447289538,60.142,1
