,Unnamed: 0,state,county,candidate,party,total_votes,won,lat,lng,population,density,TOTAL,ratio
383,383,Illinois,Will,Joe Biden,DEM,183915,True,41.5188,-88.1499,147323.0,881.0,346266,0.5311379113167334
384,384,Illinois,Williamson,Donald Trump,REP,22801,True,37.7345,-88.942,17539.0,470.0,33729,0.6760058110231552
385,385,Illinois,Winnebago,Joe Biden,DEM,64056,True,42.2596,-89.064,280337.0,881.0,127710,0.5015738783180643
386,386,Illinois,Woodford,Donald Trump,REP,14799,True,40.7148,-89.2775,5485.0,789.0,21498,0.6883896176388501
387,387,Illinois,Cook Suburbs,Joe Biden,DEM,781238,True,,,,,1176658,0.6639465333172425
388,388,Indiana,Adams,Donald Trump,REP,10686,True,40.8286,-84.9277,9700.0,614.0,14209,0.7520585544373285
389,389,Indiana,Allen,Donald Trump,REP,92083,True,41.0888,-85.1436,329170.0,935.0,169082,0.5446055759927136
390,390,Indiana,Bartholomew,Donald Trump,REP,22410,True,39.2093,-85.9183,48820.0,670.0,36235,0.6184628121981509
391,391,Indiana,Benton,Donald Trump,REP,3007,True,40.617,-87.3185,2205.0,602.0,4114,0.7309188138065144
392,392,Indiana,Blackford,Donald Trump,REP,3841,True,40.4537,-85.3736,5781.0,574.0,5350,0.7179439252336448
393,393,Indiana,Boone,Donald Trump,REP,22351,True,39.9897,-86.3182,28035.0,161.0,38520,0.5802440290758047
394,394,Indiana,Brown,Donald Trump,REP,5777,True,39.208,-86.2385,1521.0,366.0,8981,0.643246854470549
395,395,Indiana,Carroll,Donald Trump,REP,7086,True,40.5834,-86.6668,2979.0,423.0,9495,0.7462875197472354
396,396,Indiana,Cass,Donald Trump,REP,10552,True,40.7472,-86.352,17968.0,661.0,15198,0.6943018818265562
397,397,Indiana,Clark,Donald Trump,REP,33668,True,38.3376,-85.7026,47932.0,543.0,57869,0.5817968169486254
398,398,Indiana,Clay,Donald Trump,REP,9499,True,39.5226,-87.124,8225.0,861.0,12267,0.7743539577728866
399,399,Indiana,Clinton,Donald Trump,REP,9334,True,40.281,-86.5212,15569.0,746.0,12949,0.720827863155456
400,400,Indiana,Crawford,Donald Trump,REP,3483,True,38.3408,-86.4592,955.0,121.0,4944,0.7044902912621359
401,401,Indiana,Daviess,Donald Trump,REP,9576,True,38.6586,-87.1591,12514.0,728.0,11954,0.8010707712899447
402,402,Indiana,Dearborn,Donald Trump,REP,19528,True,39.2254,-84.8613,5801.0,178.0,25383,0.7693338060906906
403,403,Indiana,Decatur,Donald Trump,REP,9575,True,39.3518,-85.5028,11221.0,462.0,12287,0.7792789126719297
404,404,Indiana,DeKalb,Donald Trump,REP,14237,True,41.3666,-85.0559,13209.0,664.0,19628,0.7253413490931323
