State_ab,county,Labor Force,Employed,Unemployed,Unemployment Rate (%)
IL,Perry,8068,7298,770,9.50
IL,Piatt,8351,7887,464,5.60
IL,Pike,6731,6323,408,6.10
IL,Pope,1638,1506,132,8.10
IL,Pulaski,1757,1549,208,11.80
IL,Putnam,2938,2689,249,8.50
IL,Randolph,13728,12740,988,7.20
IL,Richland,7350,6843,507,6.90
IL,Rock Island,68489,61912,6577,9.60
IL,St. Clair,124057,112587,11470,9.20
IL,Saline,9502,8559,943,9.90
IL,Sangamon,96553,88467,8086,8.40
IL,Schuyler,3126,2929,197,6.30
IL,Scott,2347,2189,158,6.70
IL,Shelby,10210,9539,671,6.60
IL,Stark,2352,2178,174,7.40
IL,Stephenson,21056,19492,1564,7.40
IL,Tazewell,61851,56747,5104,8.30
IL,Union,7175,6585,590,8.20
IL,Vermilion,32302,29399,2903,9.00
IL,Wabash,5673,5193,480,8.50
IL,Warren,8049,7541,508,6.30
IL,Washington,9528,9019,509,5.30
IL,Wayne,6760,6190,570,8.40
IL,White,6084,5605,479,7.90
IL,Whiteside,27618,25367,2251,8.20
IL,Will,358767,326219,32548,9.10
IL,Williamson,31360,28585,2775,8.80
IL,Winnebago,135434,119837,15597,11.50
IL,Woodford,17945,16831,1114,6.20
IN,Adams,16776,15831,945,5.60
IN,Allen,185442,170981,14461,7.80
IN,Bartholomew,43673,40792,2881,6.60
IN,Benton,4162,3938,224,5.40
IN,Blackford,4829,4440,389,8.10
IN,Boone,36106,34547,1559,4.30
IN,Brown,7532,7018,514,6.80
IN,Carroll,9408,8816,592,6.30
IN,Cass,17636,16420,1216,6.90
IN,Clark,61662,57175,4487,7.30
IN,Clay,11593,10826,767,6.60
IN,Clinton,16738,15785,953,5.70
IN,Crawford,4869,4515,354,7.30
IN,Daviess,16549,15909,640,3.90
IN,Dearborn,25346,23576,1770,7.00
IN,Decatur,14956,13821,1135,7.60
IN,DeKalb,22211,20670,1541,6.90
IN,Delaware,52470,48593,3877,7.40
IN,Dubois,22595,21563,1032,4.60
IN,Elkhart,110525,102105,8420,7.60
IN,Fayette,8600,7753,847,9.80
IN,Floyd,41324,38615,2709,6.60
IN,Fountain,7732,7219,513,6.60
IN,Franklin,11319,10644,675,6.00
IN,Fulton,9676,9034,642,6.60
IN,Gibson,19577,18352,1225,6.30
IN,Grant,31602,29582,2020,6.40
IN,Greene,13267,12435,832,6.30
IN,Hamilton,184949,176246,8703,4.70
IN,Hancock,40767,38451,2316,5.70
IN,Harrison,19966,18699,1267,6.30
IN,Hendricks,90251,85655,4596,5.10
IN,Henry,21883,20431,1452,6.60
IN,Howard,37140,33065,4075,11.00
IN,Huntington,18060,16857,1203,6.70
IN,Jackson,23103,21431,1672,7.20
IN,Jasper,15535,14428,1107,7.10
IN,Jay,8815,8231,584,6.60
IN,Jefferson,14955,13834,1121,7.50
IN,Jennings,13559,12508,1051,7.80
IN,Johnson,82993,78282,4711,5.70
IN,Knox,18271,17175,1096,6.00
IN,Kosciusko,41373,38796,2577,6.20
IN,LaGrange,19299,18047,1252,6.50
IN,Lake,226215,202695,23520,10.40
IN,LaPorte,47361,42770,4591,9.70
IN,Lawrence,20682,19223,1459,7.10
IN,Madison,58444,53754,4690,8.00
IN,Marion,492797,453225,39572,8.00
IN,Marshall,22685,21212,1473,6.50
IN,Martin,5407,5173,234,4.30
IN,Miami,15180,13928,1252,8.20
IN,Monroe,67917,64099,3818,5.60
IN,Montgomery,18609,17632,977,5.30
IN,Morgan,35482,33531,1951,5.50
IN,Newton,6557,6100,457,7.00
IN,Noble,22856,20926,1930,8.40
IN,Ohio,3158,2923,235,7.40
IN,Orange,8504,7552,952,11.20
IN,Owen,9015,8436,579,6.40
IN,Parke,6853,6474,379,5.50
IN,Perry,9079,8480,599,6.60
IN,Pike,6171,5808,363,5.90
IN,Porter,84310,77433,6877,8.20
IN,Posey,12774,12136,638,5.00
IN,Pulaski,6401,6009,392,6.10
IN,Putnam,16188,15155,1033,6.40
IN,Randolph,11194,10452,742,6.60
IN,Ripley,13919,13020,899,6.50
IN,Rush,8766,8213,553,6.30
IN,St. Joseph,133500,122108,11392,8.50
IN,Scott,10463,9569,894,8.50
IN,Shelby,23019,21342,1677,7.30
IN,Spencer,10337,9754,583,5.60
IN,Starke,9746,8954,792,8.10
IN,Steuben,19907,18649,1258,6.30
IN,Sullivan,7965,7407,558,7.00
IN,Switzerland,4805,4413,392,8.20
IN,Tippecanoe,91769,85742,6027,6.60
IN,Tipton,9028,8465,563,6.20
IN,Union,3468,3274,194,5.60
IN,Vanderburgh,92161,85529,6632,7.20
IN,Vermillion,6598,6098,500,7.60
IN,Vigo,46209,42549,3660,7.90
IN,Wabash,14471,13578,893,6.20
IN,Warren,3964,3745,219,5.50
IN,Warrick,31818,30074,1744,5.50
IN,Washington,13558,12609,949,7.00
IN,Wayne,30125,28071,2054,6.80
IN,Wells,13871,13059,812,5.90
IN,White,13168,12492,676,5.10
IN,Whitley,17272,16233,1039,6.00
IA,Adair,4239,4076,163,3.80
IA,Adams,2057,1981,76,3.70
IA,Allamakee,7098,6746,352,5.00
IA,Appanoose,5934,5625,309,5.20
IA,Audubon,3026,2924,102,3.40
IA,Benton,12916,12274,642,5.00
IA,Black Hawk,67814,63732,4082,6.00
IA,Boone,14580,14002,578,4.00
IA,Bremer,13783,13259,524,3.80
IA,Buchanan,11208,10708,500,4.50
IA,Buena Vista,11740,11319,421,3.60
IA,Butler,7740,7389,351,4.50
IA,Calhoun,4102,3938,164,4.00
IA,Carroll,10611,10201,410,3.90
IA,Cass,6802,6543,259,3.80
IA,Cedar,10468,10022,446,4.30
IA,Cerro Gordo,23259,22076,1183,5.10
IA,Cherokee,6235,6004,231,3.70
IA,Chickasaw,6326,6038,288,4.60
IA,Clarke,4804,4552,252,5.20
IA,Clay,8438,8068,370,4.40
IA,Clayton,9739,9197,542,5.60
IA,Clinton,22182,20724,1458,6.60
IA,Crawford,7992,7580,412,5.20
IA,Dallas,51107,49331,1776,3.50
IA,Davis,4150,3987,163,3.90
IA,Decatur,4231,4073,158,3.70
IA,Delaware,10470,10065,405,3.90
IA,Des Moines,18726,17364,1362,7.30
IA,Dickinson,9853,9364,489,5.00
IA,Dubuque,55483,52324,3159,5.70
IA,Emmet,5075,4830,245,4.80
IA,Fayette,10323,9771,552,5.30
IA,Floyd,8299,7810,489,5.90
IA,Franklin,5630,5421,209,3.70
IA,Fremont,3724,3612,112,3.00
IA,Greene,5350,5128,222,4.10
IA,Grundy,6338,6068,270,4.30
IA,Guthrie,5432,5167,265,4.90
IA,Hamilton,6828,6534,294,4.30
IA,Hancock,5796,5533,263,4.50
IA,Hardin,7835,7481,354,4.50
IA,Harrison,7026,6745,281,4.00
IA,Henry,9530,9036,494,5.20
IA,Howard,5137,4914,223,4.30
IA,Humboldt,4974,4769,205,4.10
IA,Ida,4008,3868,140,3.50
IA,Iowa,10137,9701,436,4.30
IA,Jackson,10670,10035,635,6.00
IA,Jasper,19327,18323,1004,5.20
IA,Jefferson,9868,9337,531,5.40
IA,Johnson,85204,81202,4002,4.70
IA,Jones,10303,9730,573,5.60
IA,Keokuk,5183,4933,250,4.80
IA,Kossuth,8167,7865,302,3.70
IA,Lee,15759,14748,1011,6.40
IA,Linn,120317,112852,7465,6.20
IA,Louisa,5985,5697,288,4.80
IA,Lucas,4645,4479,166,3.60
IA,Lyon,6889,6720,169,2.50
IA,Madison,8419,7949,470,5.60
IA,Mahaska,11930,11375,555,4.70
IA,Marion,18077,17337,740,4.10
IA,Marshall,17659,16435,1224,6.90
IA,Mills,7013,6738,275,3.90
IA,Mitchell,6098,5896,202,3.30
IA,Monona,4401,4197,204,4.60
IA,Monroe,3975,3774,201,5.10
IA,Montgomery,4890,4667,223,4.60
IA,Muscatine,21452,20215,1237,5.80
IA,O'Brien,8152,7884,268,3.30
IA,Osceola,3528,3428,100,2.80
IA,Page,6239,5935,304,4.90
IA,Palo Alto,4582,4377,205,4.50
IA,Plymouth,14431,13923,508,3.50
IA,Pocahontas,4242,4097,145,3.40
IA,Polk,266206,250540,15666,5.90
IA,Pottawattamie,47408,44961,2447,5.20
IA,Poweshiek,9832,9360,472,4.80
IA,Ringgold,2388,2298,90,3.80
IA,Sac,5206,5026,180,3.50
IA,Scott,87409,81621,5788,6.60
IA,Shelby,6390,6165,225,3.50
IA,Sioux,21310,20761,549,2.60
IA,Story,57091,55080,2011,3.50
IA,Tama,9295,8828,467,5.00
IA,Taylor,3094,2984,110,3.60
IA,Union,6204,5850,354,5.70
IA,Van Buren,3694,3529,165,4.50
IA,Wapello,17461,16440,1021,5.80
IA,Warren,27926,26685,1241,4.40
IA,Washington,11484,11023,461,4.00
IA,Wayne,2808,2686,122,4.30
IA,Webster,18779,17815,964,5.10
IA,Winnebago,5077,4761,316,6.20
IA,Winneshiek,11200,10666,534,4.80
IA,Woodbury,54904,52079,2825,5.10
IA,Worth,4115,3899,216,5.20
IA,Wright,7019,6747,272,3.90
KS,Allen,6394,6061,333,5.20
KS,Anderson,4283,4114,169,3.90
KS,Atchison,6851,6400,451,6.60
KS,Barber,2312,2240,72,3.10
KS,Barton,13638,13032,606,4.40
KS,Bourbon,6690,6319,371,5.50
KS,Brown,5138,4917,221,4.30
KS,Butler,32383,30314,2069,6.40
KS,Chase,1452,1375,77,5.30
KS,Chautauqua,1479,1391,88,5.90
KS,Cherokee,9974,9469,505,5.10
KS,Cheyenne,1302,1274,28,2.20
KS,Clark,1135,1113,22,1.90
KS,Clay,3808,3644,164,4.30
KS,Cloud,3841,3690,151,3.90
KS,Coffey,3934,3737,197,5.00
KS,Comanche,865,837,28,3.20
KS,Cowley,16774,15711,1063,6.30
KS,Crawford,18931,17920,1011,5.30
KS,Decatur,1224,1182,42,3.40
KS,Dickinson,8867,8455,412,4.60
KS,Doniphan,4136,3951,185,4.50
KS,Douglas,63957,60252,3705,5.80
KS,Edwards,1460,1418,42,2.90
KS,Elk,1167,1112,55,4.70
KS,Ellis,17036,16477,559,3.30
KS,Ellsworth,2704,2623,81,3.00
KS,Finney,20555,19894,661,3.20
KS,Ford,17256,16706,550,3.20
KS,Franklin,14217,13477,740,5.20
KS,Geary,11632,10841,791,6.80
KS,Gove,1460,1423,37,2.50
KS,Graham,1134,1085,49,4.30
KS,Grant,3097,2976,121,3.90
KS,Gray,3235,3167,68,2.10
KS,Greeley,818,805,13,1.60
KS,Greenwood,3103,2945,158,5.10
KS,Hamilton,1615,1590,25,1.50
KS,Harper,2782,2664,118,4.20
KS,Harvey,16768,15902,866,5.20
KS,Haskell,2240,2191,49,2.20
KS,Hodgeman,1015,990,25,2.50
KS,Jackson,7234,6857,377,5.20
KS,Jefferson,10234,9755,479,4.70
KS,Jewell,1249,1213,36,2.90
KS,Johnson,341523,324768,16755,4.90
KS,Kearny,2025,1975,50,2.50
KS,Kingman,3249,3082,167,5.10
KS,Kiowa,1245,1207,38,3.10
KS,Labette,9648,9122,526,5.50
KS,Lane,755,734,21,2.80
KS,Leavenworth,36629,34565,2064,5.60
KS,Lincoln,1734,1686,48,2.80
KS,Linn,4329,4028,301,7.00
KS,Logan,1608,1571,37,2.30
KS,Lyon,16610,15861,749,4.50
KS,McPherson,17161,16596,565,3.30
KS,Marion,5950,5717,233,3.90
KS,Marshall,5482,5321,161,2.90
KS,Meade,2148,2091,57,2.70
KS,Miami,17570,16720,850,4.80
KS,Mitchell,3426,3339,87,2.50
KS,Montgomery,14859,13800,1059,7.10
KS,Morris,3077,2960,117,3.80
KS,Morton,1129,1096,33,2.90
KS,Nemaha,5580,5428,152,2.70
KS,Neosho,6217,5833,384,6.20
KS,Ness,1348,1304,44,3.30
KS,Norton,2644,2578,66,2.50
KS,Osage,7950,7556,394,5.00
KS,Osborne,1972,1920,52,2.60
KS,Ottawa,2971,2852,119,4.00
KS,Pawnee,2850,2751,99,3.50
KS,Phillips,2641,2556,85,3.20
KS,Pottawatomie,12132,11642,490,4.00
KS,Pratt,4921,4751,170,3.50
KS,Rawlins,1544,1506,38,2.50
KS,Reno,29731,28164,1567,5.30
KS,Republic,2313,2241,72,3.10
KS,Rice,5082,4878,204,4.00
KS,Riley,33547,31962,1585,4.70
KS,Rooks,2501,2406,95,3.80
KS,Rush,1572,1502,70,4.50
KS,Russell,3307,3175,132,4.00
KS,Saline,29482,27928,1554,5.30
KS,Scott,2824,2758,66,2.30
KS,Sedgwick,257484,235491,21993,8.50
KS,Seward,9795,9396,399,4.10
KS,Shawnee,91083,85929,5154,5.70
KS,Sheridan,1465,1432,33,2.30
KS,Sherman,2870,2778,92,3.20
KS,Smith,1990,1940,50,2.50
KS,Stafford,2022,1951,71,3.50
KS,Stanton,1075,1052,23,2.10
KS,Stevens,2802,2729,73,2.60
KS,Sumner,10841,9975,866,8.00
KS,Thomas,4233,4121,112,2.60
KS,Trego,1447,1399,48,3.30
KS,Wabaunsee,3676,3529,147,4.00
KS,Wallace,836,820,16,1.90
KS,Washington,3064,2993,71,2.30
KS,Wichita,1243,1220,23,1.90
KS,Wilson,3903,3607,296,7.60
KS,Woodson,1561,1470,91,5.80
KS,Wyandotte,77663,71699,5964,7.70
KY,Adair,7019,6530,489,7.00
KY,Allen,8664,8200,464,5.40
KY,Anderson,11765,11073,692,5.90
KY,Ballard,3324,3113,211,6.30
KY,Barren,18073,16752,1321,7.30
KY,Bath,4537,4172,365,8.00
KY,Bell,8184,7567,617,7.50
KY,Boone,70556,66874,3682,5.20
KY,Bourbon,9568,9025,543,5.70
KY,Boyd,17463,16052,1411,8.10
KY,Boyle,12562,11673,889,7.10
KY,Bracken,3713,3490,223,6.00
KY,Breathitt,3251,2928,323,9.90
KY,Breckinridge,7818,7268,550,7.00
KY,Bullitt,42153,39551,2602,6.20
KY,Butler,4858,4528,330,6.80
KY,Caldwell,5585,5253,332,5.90
KY,Calloway,17775,16707,1068,6.00
KY,Campbell,49546,46891,2655,5.40
KY,Carlisle,2162,2065,97,4.50
KY,Carroll,5293,4991,302,5.70
KY,Carter,9522,8635,887,9.30
KY,Casey,6655,6255,400,6.00
KY,Christian,24460,22573,1887,7.70
KY,Clark,16960,15887,1073,6.30
KY,Clay,5168,4742,426,8.20
KY,Clinton,3952,3757,195,4.90
KY,Crittenden,3673,3476,197,5.40
KY,Cumberland,3255,3101,154,4.70
KY,Daviess,45857,43163,2694,5.90
KY,Edmonson,4589,4247,342,7.50
KY,Elliott,1950,1761,189,9.70
KY,Estill,5137,4761,376,7.30
KY,Fayette,171813,162258,9555,5.60
KY,Fleming,6108,5675,433,7.10
KY,Floyd,10643,9707,936,8.80
KY,Franklin,24731,23168,1563,6.30
KY,Fulton,1985,1857,128,6.40
KY,Gallatin,3948,3718,230,5.80
KY,Garrard,7516,7058,458,6.10
KY,Grant,11589,10796,793,6.80
KY,Graves,15560,14669,891,5.70
KY,Grayson,10641,9840,801,7.50
KY,Green,5146,4878,268,5.20
KY,Greenup,13145,12010,1135,8.60
KY,Hancock,3812,3587,225,5.90
KY,Hardin,47658,44370,3288,6.90
KY,Harlan,6506,5764,742,11.40
KY,Harrison,8672,8156,516,6.00
KY,Hart,7638,7157,481,6.30
KY,Henderson,20663,19427,1236,6.00
KY,Henry,8023,7574,449,5.60
KY,Hickman,1718,1630,88,5.10
KY,Hopkins,18021,16728,1293,7.20
KY,Jackson,4038,3701,337,8.30
KY,Jefferson,389470,363625,25845,6.60
KY,Jessamine,25934,24522,1412,5.40
KY,Johnson,6584,6036,548,8.30
KY,Kenton,85978,81166,4812,5.60
KY,Knott,4287,3934,353,8.20
KY,Knox,9874,9089,785,8.00
KY,Larue,5841,5432,409,7.00
KY,Laurel,24918,23247,1671,6.70
KY,Lawrence,5206,4788,418,8.00
KY,Lee,2042,1905,137,6.70
KY,Leslie,2578,2307,271,10.50
KY,Letcher,6062,5468,594,9.80
KY,Lewis,4653,4225,428,9.20
KY,Lincoln,9211,8502,709,7.70
KY,Livingston,3499,3242,257,7.30
KY,Logan,12103,11454,649,5.40
KY,Lyon,3054,2897,157,5.10
KY,McCracken,28743,26768,1975,6.90
KY,McCreary,4822,4485,337,7.00
KY,McLean,3965,3746,219,5.50
KY,Madison,45840,43156,2684,5.90
KY,Magoffin,3179,2685,494,15.50
KY,Marion,9215,8515,700,7.60
KY,Marshall,14798,13915,883,6.00
KY,Martin,2474,2196,278,11.20
KY,Mason,6853,6324,529,7.70
KY,Meade,11749,10939,810,6.90
KY,Menifee,2250,2056,194,8.60
KY,Mercer,9863,9168,695,7.00
KY,Metcalfe,3982,3680,302,7.60
KY,Monroe,4558,4321,237,5.20
KY,Montgomery,11324,10450,874,7.70
KY,Morgan,4395,4106,289,6.60
KY,Muhlenberg,9913,9080,833,8.40
KY,Nelson,22696,21163,1533,6.80
KY,Nicholas,3271,3051,220,6.70
KY,Ohio,9273,8626,647,7.00
KY,Oldham,32443,30919,1524,4.70
KY,Owen,5085,4770,315,6.20
KY,Owsley,1078,978,100,9.30
KY,Pendleton,6759,6417,342,5.10
KY,Perry,8132,7432,700,8.60
KY,Pike,19098,17552,1546,8.10
KY,Powell,5045,4684,361,7.20
KY,Pulaski,25723,23893,1830,7.10
KY,Robertson,787,741,46,5.80
KY,Rockcastle,6371,5918,453,7.10
KY,Rowan,9966,9246,720,7.20
KY,Russell,6068,5582,486,8.00
KY,Scott,29874,28069,1805,6.00
KY,Shelby,25410,24072,1338,5.30
KY,Simpson,8516,7917,599,7.00
KY,Spencer,10342,9766,576,5.60
KY,Taylor,12971,12220,751,5.80
KY,Todd,5392,5141,251,4.70
KY,Trigg,5965,5562,403,6.80
KY,Trimble,3782,3533,249,6.60
KY,Union,5924,5558,366,6.20
KY,Warren,63444,59408,4036,6.40
KY,Washington,6081,5710,371,6.10
KY,Wayne,7344,6883,461,6.30
KY,Webster,5410,5073,337,6.20
KY,Whitley,13791,12841,950,6.90
KY,Wolfe,2079,1925,154,7.40
KY,Woodford,14851,14132,719,4.80
LA,Acadia Parish,23311,21493,1818,7.80
LA,Allen Parish,8392,7574,818,9.70
LA,Ascension Parish,64283,59710,4573,7.10
LA,Assumption Parish,8772,7834,938,10.70
LA,Avoyelles Parish,14925,13656,1269,8.50
LA,Beauregard Parish,14387,13355,1032,7.20
LA,Bienville Parish,5374,4933,441,8.20
LA,Bossier Parish,56751,52939,3812,6.70
LA,Caddo Parish,101444,91806,9638,9.50
LA,Calcasieu Parish,97332,88018,9314,9.60
LA,Caldwell Parish,3649,3361,288,7.90
LA,Cameron Parish,3504,3288,216,6.20
LA,Catahoula Parish,3447,3185,262,7.60
LA,Claiborne Parish,5458,5069,389,7.10
LA,Concordia Parish,6894,6289,605,8.80
LA,De Soto Parish,10688,9864,824,7.70
LA,East Baton Rouge Parish,225973,207325,18648,8.30
LA,East Carroll Parish,1813,1583,230,12.70
LA,East Feliciana Parish,7566,7024,542,7.20
LA,Evangeline Parish,11940,10953,987,8.30
LA,Franklin Parish,7317,6678,639,8.70
LA,Grant Parish,8118,7547,571,7.00
LA,Iberia Parish,27493,24724,2769,10.10
LA,Iberville Parish,13642,12212,1430,10.50
LA,Jackson Parish,6720,6333,387,5.80
LA,Jefferson Parish,209463,189241,20222,9.70
LA,Jefferson Davis Parish,12728,11702,1026,8.10
LA,Lafayette Parish,114141,105578,8563,7.50
LA,Lafourche Parish,41152,38299,2853,6.90
LA,LaSalle Parish,6827,6475,352,5.20
LA,Lincoln Parish,20987,19584,1403,6.70
LA,Livingston Parish,68727,64067,4660,6.80
LA,Madison Parish,3532,3211,321,9.10
LA,Morehouse Parish,10017,8971,1046,10.40
LA,Natchitoches Parish,16083,14903,1180,7.30
LA,Orleans Parish,179774,157276,22498,12.50
LA,Ouachita Parish,69374,63914,5460,7.90
LA,Plaquemines Parish,9528,8817,711,7.50
LA,Pointe Coupee Parish,9446,8653,793,8.40
LA,Rapides Parish,54677,51015,3662,6.70
LA,Red River Parish,3584,3345,239,6.70
LA,Richland Parish,8098,7436,662,8.20
LA,Sabine Parish,9201,8652,549,6.00
LA,St. Bernard Parish,19995,17889,2106,10.50
LA,St. Charles Parish,24358,22356,2002,8.20
LA,St. Helena Parish,4239,3720,519,12.20
LA,St. James Parish,8842,7924,918,10.40
LA,St. John the Baptist Parish,19184,16930,2254,11.70
LA,St. Landry Parish,32177,29202,2975,9.20
LA,St. Martin Parish,21773,19886,1887,8.70
LA,St. Mary Parish,19379,17494,1885,9.70
LA,St. Tammany Parish,116652,108347,8305,7.10
LA,Tangipahoa Parish,56126,50450,5676,10.10
LA,Tensas Parish,1342,1221,121,9.00
LA,Terrebonne Parish,45659,41907,3752,8.20
LA,Union Parish,8988,8300,688,7.70
LA,Vermilion Parish,23581,21719,1862,7.90
LA,Vernon Parish,15791,14576,1215,7.70
LA,Washington Parish,16612,15165,1447,8.70
LA,Webster Parish,13948,12771,1177,8.40
LA,West Baton Rouge Parish,13489,12461,1028,7.60
LA,West Carroll Parish,3656,3262,394,10.80
LA,West Feliciana Parish,5169,4869,300,5.80
LA,Winn Parish,4685,4327,358,7.60
ME,Androscoggin,54287,51543,2744,5.10
ME,Aroostook,29199,27715,1484,5.10
ME,Cumberland,160751,152878,7873,4.90
ME,Franklin,13726,12953,773,5.60
ME,Hancock,27710,26239,1471,5.30
ME,Kennebec,61354,58547,2807,4.60
ME,Knox,19562,18584,978,5.00
ME,Lincoln,16386,15584,802,4.90
ME,Oxford,25776,24197,1579,6.10
ME,Penobscot,74210,70505,3705,5.00
ME,Piscataquis,7157,6798,359,5.00
ME,Sagadahoc,19246,18403,843,4.40
ME,Somerset,22010,20662,1348,6.10
ME,Waldo,19981,19035,946,4.70
ME,Washington,13340,12574,766,5.70
ME,York,110537,105050,5487,5.00
MD,Allegany,31382,28925,2457,7.80
MD,Anne Arundel,317403,299113,18290,5.80
MD,Baltimore,452245,421646,30599,6.80
MD,Calvert,49699,47128,2571,5.20
MD,Caroline,17701,16714,987,5.60
MD,Carroll,95028,90205,4823,5.10
MD,Cecil,53323,50171,3152,5.90
MD,Charles,88174,82357,5817,6.60
MD,Dorchester,16553,15467,1086,6.60
MD,Frederick,137540,129513,8027,5.80
MD,Garrett,15623,14574,1049,6.70
MD,Harford,141380,133250,8130,5.80
MD,Howard,188920,179273,9647,5.10
MD,Kent,9836,9186,650,6.60
MD,Montgomery,556465,521828,34637,6.20
MD,Prince George's,512497,471489,41008,8.00
MD,Queen Anne's,28107,26578,1529,5.40
MD,St. Mary's,58492,55673,2819,4.80
MD,Somerset,8726,7989,737,8.40
MD,Talbot,17987,16896,1091,6.10
MD,Washington,73020,68031,4989,6.80
MD,Wicomico,49852,46087,3765,7.60
MD,Worcester,25367,22436,2931,11.60
MD,Baltimore city,282207,257578,24629,8.70
MA,Barnstable,110468,98545,11923,10.80
MA,Berkshire,62370,56266,6104,9.80
MA,Bristol,299978,267445,32533,10.80
MA,Dukes,9542,8598,944,9.90
MA,Essex,424185,380186,43999,10.40
MA,Franklin,40222,37042,3180,7.90
MA,Hampden,225995,201171,24824,11.00
MA,Hampshire,88360,81642,6718,7.60
MA,Middlesex,900978,831412,69566,7.70
MA,Nantucket/town,7622,6775,847,11.10
MA,Norfolk,390023,355614,34409,8.80
MA,Plymouth,283634,255314,28320,10.00
MA,Suffolk,456198,409219,46979,10.30
MA,Worcester,442111,401024,41087,9.30
MI,Alcona,3841,3440,401,10.40
MI,Alger,3120,2768,352,11.30
MI,Allegan,61980,57267,4713,7.60
MI,Alpena,13211,12143,1068,8.10
MI,Antrim,10112,9081,1031,10.20
MI,Arenac,5943,5243,700,11.80
MI,Baraga,3147,2759,388,12.30
MI,Barry,31394,28982,2412,7.70
MI,Bay,49355,44622,4733,9.60
MI,Benzie,8660,7812,848,9.80
MI,Berrien,72419,65825,6594,9.10
MI,Branch,19662,18014,1648,8.40
MI,Calhoun,61755,55530,6225,10.10
MI,Cass,24347,22107,2240,9.20
MI,Charlevoix,12505,11224,1281,10.20
MI,Cheboygan,10315,8770,1545,15.00
MI,Chippewa,15905,14400,1505,9.50
MI,Clare,11700,10288,1412,12.10
MI,Clinton,40183,37457,2726,6.80
MI,Crawford,5589,4975,614,11.00
MI,Delta,16819,15280,1539,9.20
MI,Dickinson,12116,11218,898,7.40
MI,Eaton,56087,51632,4455,7.90
MI,Emmet,17159,15304,1855,10.80
MI,Genesee,179481,158667,20814,11.60
MI,Gladwin,9827,8827,1000,10.20
MI,Gogebic,5812,5341,471,8.10
MI,Grand Traverse,48991,44732,4259,8.70
MI,Gratiot,17788,16310,1478,8.30
MI,Hillsdale,20084,18199,1885,9.40
MI,Houghton,15880,14664,1216,7.70
MI,Huron,15414,14048,1366,8.90
MI,Ingham,146305,134870,11435,7.80
MI,Ionia,30119,27633,2486,8.30
MI,Iosco,10107,8999,1108,11.00
MI,Iron,4928,4505,423,8.60
MI,Isabella,32957,30089,2868,8.70
MI,Jackson,74332,67413,6919,9.30
MI,Kalamazoo,131685,121713,9972,7.60
MI,Kalkaska,7865,6955,910,11.60
MI,Kent,355726,327484,28242,7.90
MI,Keweenaw,895,812,83,9.30
MI,Lake,3954,3509,445,11.30
MI,Lapeer,40521,35571,4950,12.20
MI,Leelanau,10207,9362,845,8.30
MI,Lenawee,45546,41328,4218,9.30
MI,Livingston,100793,92104,8689,8.60
MI,Luce,2224,2022,202,9.10
MI,Mackinac,4932,4248,684,13.90
MI,Macomb,442237,390268,51969,11.80
MI,Manistee,10162,9012,1150,11.30
MI,Marquette,31639,28905,2734,8.60
MI,Mason,13270,11986,1284,9.70
MI,Mecosta,18300,16555,1745,9.50
MI,Menominee,10633,9917,716,6.70
MI,Midland,39208,36115,3093,7.90
MI,Missaukee,6898,6241,657,9.50
MI,Monroe,74146,67313,6833,9.20
MI,Montcalm,27803,25157,2646,9.50
MI,Montmorency,3010,2596,414,13.80
MI,Muskegon,77415,68203,9212,11.90
MI,Newaygo,23274,21172,2102,9.00
MI,Oakland,653339,593872,59467,9.10
MI,Oceana,11998,10695,1303,10.90
MI,Ogemaw,8048,7129,919,11.40
MI,Ontonagon,2043,1822,221,10.80
MI,Osceola,11509,10513,996,8.70
MI,Oscoda,2796,2434,362,12.90
MI,Otsego,11602,10364,1238,10.70
MI,Ottawa,159280,147975,11305,7.10
MI,Presque Isle,4939,4364,575,11.60
MI,Roscommon,7740,6752,988,12.80
MI,Saginaw,84423,75670,8753,10.40
MI,St. Clair,74653,65913,8740,11.70
MI,St. Joseph,28988,26261,2727,9.40
MI,Sanilac,19398,17443,1955,10.10
MI,Schoolcraft,3238,2909,329,10.20
MI,Shiawassee,32699,29589,3110,9.50
MI,Tuscola,23597,21121,2476,10.50
MI,Van Buren,34675,31642,3033,8.70
MI,Washtenaw,193121,180109,13012,6.70
MI,Wayne,801382,693025,108357,13.50
MI,Wexford,14866,13293,1573,10.60
MN,Aitkin,7521,6889,632,8.40
MN,Anoka,201039,187963,13076,6.50
MN,Becker,19037,17812,1225,6.40
MN,Beltrami,25012,23386,1626,6.50
MN,Benton,22187,20675,1512,6.80
MN,Big Stone,2556,2430,126,4.90
MN,Blue Earth,40820,38576,2244,5.50
MN,Brown,14303,13543,760,5.30
MN,Carlton,17824,16497,1327,7.40
MN,Carver,59781,56622,3159,5.30
MN,Cass,14551,13194,1357,9.30
MN,Chippewa,6802,6443,359,5.30
MN,Chisago,30383,28317,2066,6.80
MN,Clay,36616,34987,1629,4.40
MN,Clearwater,4562,4101,461,10.10
MN,Cook,3009,2753,256,8.50
MN,Cottonwood,6371,6062,309,4.90
MN,Crow Wing,32536,30117,2419,7.40
MN,Dakota,245146,229690,15456,6.30
MN,Dodge,12122,11451,671,5.50
MN,Douglas,21402,20352,1050,4.90
MN,Faribault,7157,6704,453,6.30
MN,Fillmore,11754,11137,617,5.20
MN,Freeborn,16311,15365,946,5.80
