State_ab,county,Labor Force,Employed,Unemployed,Unemployment Rate (%)
AR,Jackson,5852,5428,424,7.20
AR,Jefferson,27287,25079,2208,8.10
AR,Johnson,10140,9498,642,6.30
AR,Lafayette,2419,2233,186,7.70
AR,Lawrence,6797,6377,420,6.20
AR,Lee,2747,2536,211,7.70
AR,Lincoln,3868,3637,231,6.00
AR,Little River,5353,5003,350,6.50
AR,Logan,8664,8085,579,6.70
AR,Lonoke,33761,31886,1875,5.60
AR,Madison,7292,7001,291,4.00
AR,Marion,6265,5860,405,6.50
AR,Miller,19343,18003,1340,6.90
AR,Mississippi,17269,15704,1565,9.10
AR,Monroe,2722,2541,181,6.60
AR,Montgomery,2958,2752,206,7.00
AR,Nevada,3545,3336,209,5.90
AR,Newton,3186,3023,163,5.10
AR,Ouachita,9840,9243,597,6.10
AR,Perry,4132,3899,233,5.60
AR,Phillips,6303,5723,580,9.20
AR,Pike,4270,4016,254,5.90
AR,Poinsett,9753,9206,547,5.60
AR,Polk,8005,7468,537,6.70
AR,Pope,27870,26218,1652,5.90
AR,Prairie,3611,3417,194,5.40
AR,Pulaski,189050,174991,14059,7.40
AR,Randolph,7449,7006,443,5.90
AR,St. Francis,8022,7388,634,7.90
AR,Saline,58783,55813,2970,5.10
AR,Scott,4345,4150,195,4.50
AR,Searcy,2878,2692,186,6.50
AR,Sebastian,56085,52716,3369,6.00
AR,Sevier,5543,5218,325,5.90
AR,Sharp,5717,5306,411,7.20
AR,Stone,4624,4295,329,7.10
AR,Union,15615,14310,1305,8.40
AR,Van Buren,5767,5354,413,7.20
AR,Washington,125379,119532,5847,4.70
AR,White,34020,31880,2140,6.30
AR,Woodruff,2826,2661,165,5.80
AR,Yell,7933,7526,407,5.10
CA,Alameda,816829,743193,73636,9.00
CA,Alpine,513,453,60,11.70
CA,Amador,14451,13084,1367,9.50
CA,Butte,93080,84291,8789,9.40
CA,Calaveras,21315,19637,1678,7.90
CA,Colusa,10607,8853,1754,16.50
CA,Contra Costa,545458,495891,49567,9.10
CA,Del Norte,9414,8497,917,9.70
CA,El Dorado,90730,82984,7746,8.50
CA,Fresno,444993,392711,52282,11.70
CA,Glenn,12737,11581,1156,9.10
CA,Humboldt,59653,54515,5138,8.60
CA,Imperial,71528,55218,16310,22.80
CA,Inyo,8305,7637,668,8.00
CA,Kern,385860,335929,49931,12.90
CA,Kings,56921,50118,6803,12.00
CA,Lake,28411,25614,2797,9.80
CA,Lassen,9393,8694,699,7.40
CA,Los Angeles,4960339,4350509,609830,12.30
CA,Madera,61852,54920,6932,11.20
CA,Marin,130414,121476,8938,6.90
CA,Mariposa,7191,6385,806,11.20
CA,Mendocino,37099,33698,3401,9.20
CA,Merced,115332,100761,14571,12.60
CA,Modoc,3174,2893,281,8.90
CA,Mono,7875,6917,958,12.20
CA,Monterey,213837,189830,24007,11.20
CA,Napa,68777,62575,6202,9.00
CA,Nevada,46697,42871,3826,8.20
CA,Orange,1561462,1420678,140784,9.00
CA,Placer,186664,172621,14043,7.50
CA,Plumas,7615,6768,847,11.10
CA,Riverside,1117258,1003553,113705,10.20
CA,Sacramento,709713,641956,67757,9.50
CA,San Benito,32493,29251,3242,10.00
CA,San Bernardino,971384,876969,94415,9.70
CA,San Diego,1541979,1395730,146249,9.50
CA,San Francisco/city,558105,513363,44742,8.00
CA,San Joaquin,334292,295559,38733,11.60
CA,San Luis Obispo,133921,123379,10542,7.90
CA,San Mateo,437835,407241,30594,7.00
CA,Santa Barbara,218122,200213,17909,8.20
CA,Santa Clara,1021799,948273,73526,7.20
CA,Santa Cruz,134611,121436,13175,9.80
CA,Shasta,73129,66563,6566,9.00
CA,Sierra,1283,1176,107,8.30
CA,Siskiyou,16938,15228,1710,10.10
CA,Solano,201518,181675,19843,9.80
CA,Sonoma,245312,225417,19895,8.10
CA,Stanislaus,241656,214903,26753,11.10
CA,Sutter,45440,40238,5202,11.40
CA,Tehama,25630,23282,2348,9.20
CA,Trinity,4532,4157,375,8.30
CA,Tulare,202207,174781,27426,13.60
CA,Tuolumne,20153,17998,2155,10.70
CA,Ventura,409408,373303,36105,8.80
CA,Yolo,104638,96435,8203,7.80
CA,Yuba,30665,27370,3295,10.70
CO,Adams,270349,249734,20615,7.60
CO,Alamosa,8312,7809,503,6.10
CO,Arapahoe,359977,333136,26841,7.50
CO,Archuleta,7042,6537,505,7.20
CO,Baca,2083,2036,47,2.30
CO,Bent,1773,1700,73,4.10
CO,Boulder,190742,179615,11127,5.80
CO,Broomfield/city,40409,37908,2501,6.20
CO,Chaffee,9642,9062,580,6.00
CO,Cheyenne,1083,1058,25,2.30
CO,Clear Creek,5964,5475,489,8.20
CO,Conejos,4006,3790,216,5.40
CO,Costilla,1812,1687,125,6.90
CO,Crowley,1440,1364,76,5.30
CO,Custer,2085,1986,99,4.70
CO,Delta,14159,13273,886,6.30
CO,Denver/city,419844,387275,32569,7.80
CO,Dolores,1135,1061,74,6.50
CO,Douglas,196099,185505,10594,5.40
CO,Eagle,35383,32204,3179,9.00
CO,Elbert,15000,14339,661,4.40
CO,El Paso,341997,318462,23535,6.90
CO,Fremont,15223,14104,1119,7.40
CO,Garfield,31405,29376,2029,6.50
CO,Gilpin,3930,3501,429,10.90
CO,Grand,9245,8505,740,8.00
CO,Gunnison,11296,10587,709,6.30
CO,Hinsdale,423,406,17,4.00
CO,Huerfano,2597,2362,235,9.00
CO,Jackson,935,898,37,4.00
CO,Jefferson,327550,305440,22110,6.80
CO,Kiowa,953,931,22,2.30
CO,Kit Carson,4211,4098,113,2.70
CO,Lake,4803,4434,369,7.70
CO,La Plata,30924,28897,2027,6.60
CO,Larimer,201273,189216,12057,6.00
CO,Las Animas,6398,5947,451,7.00
CO,Lincoln,2340,2241,99,4.20
CO,Logan,10867,10385,482,4.40
CO,Mesa,74725,69424,5301,7.10
CO,Mineral,464,438,26,5.60
CO,Moffat,7162,6749,413,5.80
CO,Montezuma,12626,11760,866,6.90
CO,Montrose,21491,20134,1357,6.30
CO,Morgan,15899,15089,810,5.10
CO,Otero,8179,7701,478,5.80
CO,Ouray,2481,2291,190,7.70
CO,Park,10969,10370,599,5.50
CO,Phillips,2459,2396,63,2.60
CO,Pitkin,11122,10017,1105,9.90
CO,Prowers,6114,5856,258,4.20
CO,Pueblo,76155,70230,5925,7.80
CO,Rio Blanco,2905,2754,151,5.20
CO,Rio Grande,5360,4993,367,6.80
CO,Routt,15923,14729,1194,7.50
CO,Saguache,3405,3176,229,6.70
CO,San Juan,519,486,33,6.40
CO,San Miguel,5425,4865,560,10.30
CO,Sedgwick,1154,1115,39,3.40
CO,Summit,21962,19912,2050,9.30
CO,Teller,12836,11924,912,7.10
CO,Washington,2844,2759,85,3.00
CO,Weld,164840,153943,10897,6.60
CO,Yuma,5552,5404,148,2.70
CT,Fairfield,473208,436155,37053,7.80
CT,Hartford,482601,443952,38649,8.00
CT,Litchfield,103484,96504,6980,6.70
CT,Middlesex,93209,87216,5993,6.40
CT,New Haven,462508,426061,36447,7.90
CT,New London,133743,121093,12650,9.50
CT,Tolland,85905,80682,5223,6.10
CT,Windham,63124,58291,4833,7.70
DE,Kent,79826,73170,6656,8.30
DE,New Castle,298781,276479,22302,7.50
DE,Sussex,107206,99465,7741,7.20
District of Columbia,District of Columbia,386296,355788,30508,7.90
FL,Alachua,134486,126648,7838,5.80
FL,Baker,11655,11020,635,5.40
FL,Bay,82680,77353,5327,6.40
FL,Bradford,10713,10018,695,6.50
FL,Brevard,281504,261302,20202,7.20
FL,Broward,1021021,923137,97884,9.60
FL,Calhoun,4744,4479,265,5.60
FL,Charlotte,71385,65764,5621,7.90
FL,Citrus,46588,42350,4238,9.10
FL,Clay,104580,98510,6070,5.80
FL,Collier,176321,163139,13182,7.50
FL,Columbia,29435,27537,1898,6.40
FL,DeSoto,14350,13549,801,5.60
FL,Dixie,5845,5495,350,6.00
FL,Duval,480408,444860,35548,7.40
FL,Escambia,143637,133112,10525,7.30
FL,Flagler,47089,43263,3826,8.10
FL,Franklin,4651,4380,271,5.80
FL,Gadsden,18212,16840,1372,7.50
FL,Gilchrist,7035,6661,374,5.30
FL,Glades,5070,4755,315,6.20
FL,Gulf,5074,4754,320,6.30
FL,Hamilton,4210,3856,354,8.40
FL,Hardee,8466,7871,595,7.00
FL,Hendry,15287,13907,1380,9.00
FL,Hernando,71952,65730,6222,8.60
FL,Highlands,34624,31723,2901,8.40
FL,Hillsborough,754031,695631,58400,7.70
FL,Holmes,6814,6407,407,6.00
FL,Indian River,64151,59027,5124,8.00
FL,Jackson,17124,16107,1017,5.90
FL,Jefferson,5413,5085,328,6.10
FL,Lafayette,2769,2640,129,4.70
FL,Lake,156772,142000,14772,9.40
FL,Lee,345113,317759,27354,7.90
FL,Leon,150692,141137,9555,6.30
FL,Levy,16479,15398,1081,6.60
FL,Liberty,2592,2457,135,5.20
FL,Madison,7546,7042,504,6.70
FL,Manatee,175685,162804,12881,7.30
FL,Marion,138952,128343,10609,7.60
FL,Martin,71353,66677,4676,6.60
FL,Miami-Dade,1280601,1175315,105286,8.20
FL,Monroe,44444,40725,3719,8.40
FL,Nassau,41553,39035,2518,6.10
FL,Okaloosa,95234,89599,5635,5.90
FL,Okeechobee,17090,16089,1001,5.90
FL,Orange,741842,656788,85054,11.50
FL,Osceola,190165,162828,27337,14.40
FL,Palm Beach,715415,656556,58859,8.20
FL,Pasco,240726,222182,18544,7.70
FL,Pinellas,476669,440134,36535,7.70
FL,Polk,319699,288447,31252,9.80
FL,Putnam,26398,24111,2287,8.70
FL,St. Johns,137667,130012,7655,5.60
FL,St. Lucie,146919,134666,12253,8.30
FL,Santa Rosa,82862,78224,4638,5.60
FL,Sarasota,183985,170423,13562,7.40
FL,Seminole,237580,219095,18485,7.80
FL,Sumter,32660,29876,2784,8.50
FL,Suwannee,17637,16549,1088,6.20
FL,Taylor,8151,7586,565,6.90
FL,Union,4532,4299,233,5.10
FL,Volusia,248723,228265,20458,8.20
FL,Wakulla,14994,14272,722,4.80
FL,Walton,32348,30321,2027,6.30
FL,Washington,9438,8843,595,6.30
GA,Appling,9197,8767,430,4.70
GA,Atkinson,4453,4280,173,3.90
GA,Bacon,4847,4622,225,4.60
GA,Baker,1126,1059,67,6.00
GA,Baldwin,17666,16453,1213,6.90
GA,Banks,9825,9407,418,4.30
GA,Barrow,40846,38791,2055,5.00
GA,Bartow,50018,46932,3086,6.20
