,state,county,candidate,party,total_votes,won,lat,lng,population,density,ln_total_votes
6478,Kentucky,Rockcastle,Donald Trump,REP,,True,37.3654,-84.3401,2191.0,300.0,
6481,Kentucky,Rowan,Donald Trump,REP,,True,38.1906,-83.4466,7653.0,311.0,
6484,Kentucky,Russell,Donald Trump,REP,,True,37.051,-85.0774,2587.0,213.0,
6486,Kentucky,Scott,Donald Trump,REP,,True,38.2247,-84.5487,34362.0,782.0,
6489,Kentucky,Shelby,Donald Trump,REP,,True,38.2067,-85.2292,16244.0,711.0,
6491,Kentucky,Simpson,Donald Trump,REP,,True,36.7177,-86.5595,8909.0,233.0,
6492,Kentucky,Spencer,Donald Trump,REP,,True,38.117,-85.3722,1848.0,123.0,
6494,Kentucky,Taylor,Donald Trump,REP,,True,37.3445,-85.3511,11370.0,583.0,
6495,Kentucky,Todd,Donald Trump,REP,,True,36.8134,-87.161,2065.0,312.0,
6499,Kentucky,Trigg,Donald Trump,REP,,True,36.8695,-87.8048,2668.0,343.0,
6501,Kentucky,Trimble,Donald Trump,REP,,True,38.7113,-85.3734,615.0,160.0,
6503,Kentucky,Union,Donald Trump,REP,,True,37.6869,-87.8878,3416.0,468.0,
6508,Kentucky,Warren,Donald Trump,REP,,True,36.9716,-86.4378,94555.0,684.0,
6514,Kentucky,Washington,Donald Trump,REP,,True,37.6922,-85.2193,2965.0,278.0,
6517,Kentucky,Wayne,Donald Trump,REP,,True,36.8412,-84.8502,5999.0,380.0,
6518,Kentucky,Webster,Donald Trump,REP,,True,37.3993,-87.7509,3006.0,192.0,
6526,Kentucky,Whitley,Donald Trump,REP,,True,36.9323,-84.1006,7558.0,367.0,
6531,Kentucky,Wolfe,Donald Trump,REP,,True,37.7353,-83.5473,316.0,122.0,
6533,Kentucky,Woodford,Donald Trump,REP,,True,38.0486,-84.7258,9251.0,566.0,
6535,Louisiana,Acadia Parish,Donald Trump,REP,,True,,,,,
6536,Louisiana,Allen Parish,Donald Trump,REP,,True,,,,,
6537,Louisiana,Ascension Parish,Donald Trump,REP,,True,,,,,
6538,Louisiana,Assumption Parish,Donald Trump,REP,,True,,,,,
6539,Louisiana,Avoyelles Parish,Donald Trump,REP,,True,,,,,
6540,Louisiana,Beauregard Parish,Donald Trump,REP,,True,,,,,
6541,Louisiana,Bienville Parish,Donald Trump,REP,,True,,,,,
6542,Louisiana,Bossier Parish,Donald Trump,REP,,True,,,,,
6543,Louisiana,Caddo Parish,Joe Biden,DEM,,True,,,,,
6544,Louisiana,Calcasieu Parish,Donald Trump,REP,,True,,,,,
6545,Louisiana,Caldwell Parish,Donald Trump,REP,,True,,,,,
6546,Louisiana,Cameron Parish,Donald Trump,REP,,True,,,,,
6547,Louisiana,Catahoula Parish,Donald Trump,REP,,True,,,,,
6548,Louisiana,Claiborne Parish,Donald Trump,REP,,True,,,,,
6549,Louisiana,Concordia Parish,Donald Trump,REP,,True,,,,,
6550,Louisiana,De Soto Parish,Donald Trump,REP,,True,,,,,
6551,Louisiana,East Baton Rouge Parish,Joe Biden,DEM,,True,,,,,
6552,Louisiana,East Carroll Parish,Joe Biden,DEM,,True,,,,,
6553,Louisiana,East Feliciana Parish,Donald Trump,REP,,True,,,,,
6554,Louisiana,Evangeline Parish,Donald Trump,REP,,True,,,,,
6555,Louisiana,Franklin Parish,Donald Trump,REP,,True,,,,,
6556,Louisiana,Grant Parish,Donald Trump,REP,,True,,,,,
6557,Louisiana,Iberia Parish,Donald Trump,REP,,True,,,,,
6558,Louisiana,Iberville Parish,Joe Biden,DEM,,True,,,,,
6559,Louisiana,Jackson Parish,Donald Trump,REP,,True,,,,,
6560,Louisiana,Jefferson Parish,Donald Trump,REP,,True,,,,,
6561,Louisiana,Jefferson Davis Parish,Donald Trump,REP,,True,,,,,
6562,Louisiana,Lafayette Parish,Donald Trump,REP,,True,,,,,
6563,Louisiana,Lafourche Parish,Donald Trump,REP,,True,,,,,
6564,Louisiana,LaSalle Parish,Donald Trump,REP,,True,,,,,
6565,Louisiana,Lincoln Parish,Donald Trump,REP,,True,,,,,
6566,Louisiana,Livingston Parish,Donald Trump,REP,,True,,,,,
6567,Louisiana,Madison Parish,Joe Biden,DEM,,True,,,,,
6568,Louisiana,Morehouse Parish,Donald Trump,REP,,True,,,,,
6569,Louisiana,Natchitoches Parish,Donald Trump,REP,,True,,,,,
6570,Louisiana,Orleans Parish,Joe Biden,DEM,,True,,,,,
6571,Louisiana,Ouachita Parish,Donald Trump,REP,,True,,,,,
6572,Louisiana,Plaquemines Parish,Donald Trump,REP,,True,,,,,
6573,Louisiana,Pointe Coupee Parish,Donald Trump,REP,,True,,,,,
6574,Louisiana,Rapides Parish,Donald Trump,REP,,True,,,,,
6575,Louisiana,Red River Parish,Donald Trump,REP,,True,,,,,
6576,Louisiana,Richland Parish,Donald Trump,REP,,True,,,,,
6577,Louisiana,Sabine Parish,Donald Trump,REP,,True,,,,,
6578,Louisiana,St. Bernard Parish,Donald Trump,REP,,True,,,,,
6579,Louisiana,St. Charles Parish,Donald Trump,REP,,True,,,,,
6580,Louisiana,St. Helena Parish,Joe Biden,DEM,,True,,,,,
6581,Louisiana,St. James Parish,Joe Biden,DEM,,True,,,,,
6582,Louisiana,St. John the Baptist Parish,Joe Biden,DEM,,True,,,,,
6583,Louisiana,St. Landry Parish,Donald Trump,REP,,True,,,,,
6584,Louisiana,St. Martin Parish,Donald Trump,REP,,True,,,,,
6585,Louisiana,St. Mary Parish,Donald Trump,REP,,True,,,,,
6586,Louisiana,St. Tammany Parish,Donald Trump,REP,,True,,,,,
6587,Louisiana,Tangipahoa Parish,Donald Trump,REP,,True,,,,,
6588,Louisiana,Tensas Parish,Joe Biden,DEM,,True,,,,,
6589,Louisiana,Terrebonne Parish,Donald Trump,REP,,True,,,,,
6590,Louisiana,Union Parish,Donald Trump,REP,,True,,,,,
6591,Louisiana,Vermilion Parish,Donald Trump,REP,,True,,,,,
6592,Louisiana,Vernon Parish,Donald Trump,REP,,True,,,,,
6593,Louisiana,Washington Parish,Donald Trump,REP,,True,,,,,
6594,Louisiana,Webster Parish,Donald Trump,REP,,True,,,,,
6595,Louisiana,West Baton Rouge Parish,Donald Trump,REP,,True,,,,,
6596,Louisiana,West Carroll Parish,Donald Trump,REP,,True,,,,,
6597,Louisiana,West Feliciana Parish,Donald Trump,REP,,True,,,,,
6598,Louisiana,Winn Parish,Donald Trump,REP,,True,,,,,
6599,Maine,Aroostook Cty Townships,Donald Trump,REP,,True,,,,,
6600,Maine,Franklin Cty Townships,Joe Biden,DEM,,True,,,,,
6601,Maine,Hancock Cty Townships,Donald Trump,REP,,True,,,,,
6602,Maine,Oxford Cty Townships,Donald Trump,REP,,True,,,,,
6603,Maine,Penobscot Cty Townships,Donald Trump,REP,,True,,,,,
6604,Maine,Piscataquis Cty Townshps,Donald Trump,REP,,True,,,,,
6605,Maine,Somerset Cty Townships,Donald Trump,REP,,True,,,,,
6606,Maine,Washington Cty Townships,Donald Trump,REP,,True,,,,,
6607,Maine,Indian Township Vtng Dst,Joe Biden,DEM,,True,,,,,
6608,Maine,Oxbow Plt.,Donald Trump,REP,,True,,,,,
6609,Maine,Pleasant Point Votng Dst,Joe Biden,DEM,,True,,,,,
6610,Maine,Auburn,Joe Biden,DEM,,True,,,,,
6611,Maine,Durham,Joe Biden,DEM,,True,,,,,
6612,Maine,Greene,Donald Trump,REP,,True,,,,,
6613,Maine,Leeds,Donald Trump,REP,,True,,,,,
6614,Maine,Lewiston,Joe Biden,DEM,,True,,,,,
6615,Maine,Lisbon,Donald Trump,REP,,True,,,,,
6616,Maine,Livermore,Donald Trump,REP,,True,,,,,
6617,Maine,Livermore Falls,Donald Trump,REP,,True,,,,,
6618,Maine,Mechanic Falls,Donald Trump,REP,,True,,,,,
6619,Maine,Minot,Donald Trump,REP,,True,,,,,
6620,Maine,Poland,Donald Trump,REP,,True,,,,,
6621,Maine,Sabattus,Donald Trump,REP,,True,,,,,
6622,Maine,Turner,Donald Trump,REP,,True,,,,,
6623,Maine,Wales,Donald Trump,REP,,True,,,,,
6624,Maine,Allagash,Donald Trump,REP,,True,,,,,
6625,Maine,Amity,Donald Trump,REP,,True,,,,,
6626,Maine,Ashland,Donald Trump,REP,,True,,,,,
6627,Maine,Blaine,Donald Trump,REP,,True,,,,,
6628,Maine,Bridgewater,Donald Trump,REP,,True,,,,,
6629,Maine,Caribou,Donald Trump,REP,,True,,,,,
6630,Maine,Cary Plt.,Joe Biden,DEM,,True,,,,,
6631,Maine,Castle Hill,Donald Trump,REP,,True,,,,,
6632,Maine,Caswell,Donald Trump,REP,,True,,,,,
6633,Maine,Chapman,Donald Trump,REP,,True,,,,,
6634,Maine,Crystal,Donald Trump,REP,,True,,,,,
6635,Maine,Cyr Plt.,Donald Trump,REP,,True,,,,,
6636,Maine,Dyer Brook,Donald Trump,REP,,True,,,,,
6637,Maine,Eagle Lake,Donald Trump,REP,,True,,,,,
6638,Maine,Easton,Donald Trump,REP,,True,,,,,
6639,Maine,Fort Fairfield,Donald Trump,REP,,True,,,,,
6640,Maine,Fort Kent,Donald Trump,REP,,True,,,,,
6641,Maine,Frenchville,Donald Trump,REP,,True,,,,,
6642,Maine,Garfield Plt.,Donald Trump,REP,,True,,,,,
6643,Maine,Glenwood Plt.,Joe Biden,DEM,,True,,,,,
6644,Maine,Grand Isle,Donald Trump,REP,,True,,,,,
6645,Maine,Hamlin,Donald Trump,REP,,True,,,,,
6646,Maine,Hammond,Donald Trump,REP,,True,,,,,
6647,Maine,Haynesville,Donald Trump,REP,,True,,,,,
6648,Maine,Hersey,Jo Jorgensen,LIB,,True,,,,,
6649,Maine,Hodgdon,Donald Trump,REP,,True,,,,,
6650,Maine,Houlton,Donald Trump,REP,,True,,,,,
6651,Maine,Island Falls,Donald Trump,REP,,True,,,,,
6652,Maine,Limestone,Donald Trump,REP,,True,,,,,
6653,Maine,Linneus,Donald Trump,REP,,True,,,,,
6654,Maine,Littleton,Donald Trump,REP,,True,,,,,
6655,Maine,Ludlow,Donald Trump,REP,,True,,,,,
6656,Maine,Macwahoc Plt.,Donald Trump,REP,,True,,,,,
6657,Maine,Madawaska,Joe Biden,DEM,,True,,,,,
6658,Maine,Mapleton,Donald Trump,REP,,True,,,,,
6659,Maine,Mars Hill,Donald Trump,REP,,True,,,,,
6660,Maine,Masardis,Donald Trump,REP,,True,,,,,
6661,Maine,Merrill,Donald Trump,REP,,True,,,,,
6662,Maine,Monticello,Donald Trump,REP,,True,,,,,
6663,Maine,Moro Plt.,Donald Trump,REP,,True,,,,,
6664,Maine,Nashville Plt.,Donald Trump,REP,,True,,,,,
6665,Maine,New Canada,Donald Trump,REP,,True,,,,,
6666,Maine,New Limerick,Donald Trump,REP,,True,,,,,
6667,Maine,New Sweden,Donald Trump,REP,,True,,,,,
6668,Maine,Oakfield,Donald Trump,REP,,True,,,,,
6669,Maine,Orient,Donald Trump,REP,,True,,,,,
6670,Maine,Penobscot Nation Vot Dst,Joe Biden,DEM,,True,,,,,
6671,Maine,Perham,Donald Trump,REP,,True,,,,,
6672,Maine,Portage Lake,Donald Trump,REP,,True,,,,,
6673,Maine,Presque Isle,Donald Trump,REP,,True,,,,,
6674,Maine,Reed Plt.,Donald Trump,REP,,True,,,,,
6675,Maine,Saint Agatha,Donald Trump,REP,,True,,,,,
6676,Maine,St. Francis,Joe Biden,DEM,,True,,,,,
6677,Maine,St. John Plt.,Donald Trump,REP,,True,,,,,
6678,Maine,Sherman,Donald Trump,REP,,True,,,,,
6679,Maine,Smyrna,Donald Trump,REP,,True,,,,,
6680,Maine,Stockholm,Donald Trump,REP,,True,,,,,
6681,Maine,Van Buren,Joe Biden,DEM,,True,,,,,
6682,Maine,Wade,Donald Trump,REP,,True,,,,,
6683,Maine,Wallagrass,Joe Biden,DEM,,True,,,,,
6684,Maine,Washburn,Donald Trump,REP,,True,,,,,
6685,Maine,Westfield,Donald Trump,REP,,True,,,,,
6686,Maine,Westmanland,Joe Biden,DEM,,True,,,,,
6687,Maine,Weston,Donald Trump,REP,,True,,,,,
6688,Maine,Winterville Plt.,Donald Trump,REP,,True,,,,,
6689,Maine,Woodland,Donald Trump,REP,,True,,,,,
6690,Maine,Baldwin,Donald Trump,REP,,True,,,,,
6691,Maine,Bridgton,Joe Biden,DEM,,True,,,,,
6692,Maine,Brunswick,Joe Biden,DEM,,True,,,,,
6693,Maine,Cape Elizabeth,Joe Biden,DEM,,True,,,,,
6694,Maine,Casco,Donald Trump,REP,,True,,,,,
6695,Maine,Chebeague Island,Joe Biden,DEM,,True,,,,,
6696,Maine,Cumberland,Joe Biden,DEM,,True,43.6773,-70.2715,213986.0,1195.0,
6708,Maine,Falmouth,Joe Biden,DEM,,True,,,,,
6709,Maine,Freeport,Joe Biden,DEM,,True,,,,,
6710,Maine,Frye Island,Joe Biden,DEM,,True,,,,,
6711,Maine,Gorham,Joe Biden,DEM,,True,,,,,
6712,Maine,Gray,Joe Biden,DEM,,True,,,,,
6713,Maine,Harpswell,Joe Biden,DEM,,True,,,,,
6714,Maine,Harrison,Donald Trump,REP,,True,,,,,
6715,Maine,Long Island,Joe Biden,DEM,,True,,,,,
6716,Maine,Naples,Donald Trump,REP,,True,,,,,
6717,Maine,New Gloucester,Donald Trump,REP,,True,,,,,
6718,Maine,North Yarmouth,Joe Biden,DEM,,True,,,,,
6719,Maine,Portland,Joe Biden,DEM,,True,,,,,
6720,Maine,Pownal,Joe Biden,DEM,,True,,,,,
6721,Maine,Raymond,Joe Biden,DEM,,True,,,,,
6722,Maine,Scarborough,Joe Biden,DEM,,True,,,,,
6723,Maine,Sebago,Donald Trump,REP,,True,,,,,
6724,Maine,South Portland,Joe Biden,DEM,,True,,,,,
6725,Maine,Standish,Donald Trump,REP,,True,,,,,
6726,Maine,Westbrook,Joe Biden,DEM,,True,,,,,
6727,Maine,Windham,Joe Biden,DEM,,True,,,,,
6728,Maine,Yarmouth,Joe Biden,DEM,,True,,,,,
6729,Maine,Avon,Donald Trump,REP,,True,,,,,
6730,Maine,Carrabassett Valley,Joe Biden,DEM,,True,,,,,
6731,Maine,Carthage,Donald Trump,REP,,True,,,,,
6732,Maine,Chesterville,Donald Trump,REP,,True,,,,,
6733,Maine,Coplin Plt.,Joe Biden,DEM,,True,,,,,
6734,Maine,Dallas Plt.,Donald Trump,REP,,True,,,,,
6735,Maine,Eustis,Donald Trump,REP,,True,,,,,
6736,Maine,Farmington,Joe Biden,DEM,,True,,,,,
6737,Maine,Industry,Donald Trump,REP,,True,,,,,
6738,Maine,Jay,Donald Trump,REP,,True,,,,,
6739,Maine,Kingfield,Donald Trump,REP,,True,,,,,
6740,Maine,New Sharon,Donald Trump,REP,,True,,,,,
6741,Maine,New Vineyard,Donald Trump,REP,,True,,,,,
6742,Maine,Phillips,Donald Trump,REP,,True,,,,,
6743,Maine,Rangeley,Donald Trump,REP,,True,,,,,
6744,Maine,Rangeley Plt.,Donald Trump,REP,,True,,,,,
6745,Maine,Sandy River Plt.,Joe Biden,DEM,,True,,,,,
6746,Maine,Strong,Donald Trump,REP,,True,,,,,
6747,Maine,Temple,Joe Biden,DEM,,True,,,,,
6748,Maine,Weld,Joe Biden,DEM,,True,,,,,
6749,Maine,Wilton,Donald Trump,REP,,True,,,,,
6750,Maine,Amherst,Donald Trump,REP,,True,,,,,
6751,Maine,Aurora,Donald Trump,REP,,True,,,,,
6752,Maine,Bar Harbor,Joe Biden,DEM,,True,,,,,
6753,Maine,Blue Hill,Joe Biden,DEM,,True,,,,,
6754,Maine,Brooklin,Joe Biden,DEM,,True,,,,,
6755,Maine,Brooksville,Joe Biden,DEM,,True,,,,,
6756,Maine,Bucksport,Donald Trump,REP,,True,,,,,
6757,Maine,Castine,Joe Biden,DEM,,True,,,,,
6758,Maine,Cranberry Isles,Joe Biden,DEM,,True,,,,,
6759,Maine,Dedham,Donald Trump,REP,,True,,,,,
6760,Maine,Deer Isle,Joe Biden,DEM,,True,,,,,
6761,Maine,Eastbrook,Donald Trump,REP,,True,,,,,
6762,Maine,Ellsworth,Donald Trump,REP,,True,,,,,
6763,Maine,Franklin,Donald Trump,REP,,True,44.4916,-70.1923,1165.0,205.0,
6766,Maine,Frenchboro,Donald Trump,REP,,True,,,,,
6767,Maine,Gouldsboro,Donald Trump,REP,,True,,,,,
6768,Maine,Great Pond,Donald Trump,REP,,True,,,,,
6769,Maine,Hancock,Donald Trump,REP,,True,44.5847,-68.4875,8085.0,39.0,
6771,Maine,Lamoine,Joe Biden,DEM,,True,,,,,
6772,Maine,Mariaville,Donald Trump,REP,,True,,,,,
6773,Maine,Mount Desert,Joe Biden,DEM,,True,,,,,
6774,Maine,Orland,Donald Trump,REP,,True,,,,,
6775,Maine,Osborn,Donald Trump,REP,,True,,,,,
6776,Maine,Otis,Donald Trump,REP,,True,,,,,
6777,Maine,Penobscot,Joe Biden,DEM,,True,44.8323,-68.7906,32029.0,360.0,
6785,Maine,Sedgwick,Joe Biden,DEM,,True,,,,,
6786,Maine,Sorrento,Donald Trump,REP,,True,,,,,
6787,Maine,Southwest Harbor,Joe Biden,DEM,,True,,,,,
6788,Maine,Stonington,Joe Biden,DEM,,True,,,,,
6789,Maine,Sullivan,Joe Biden,DEM,,True,,,,,
6790,Maine,Surry,Joe Biden,DEM,,True,,,,,
6791,Maine,Swan's Island,Joe Biden,DEM,,True,,,,,
6792,Maine,Tremont,Joe Biden,DEM,,True,,,,,
6793,Maine,Trenton,Joe Biden,DEM,,True,,,,,
6794,Maine,Verona,Donald Trump,REP,,True,,,,,
6795,Maine,Waltham,Donald Trump,REP,,True,,,,,
6796,Maine,Winter Harbor,Donald Trump,REP,,True,,,,,
6797,Maine,Albion,Donald Trump,REP,,True,,,,,
6798,Maine,Augusta,Joe Biden,DEM,,True,,,,,
6799,Maine,Belgrade,Donald Trump,REP,,True,,,,,
6800,Maine,Benton,Donald Trump,REP,,True,,,,,
6801,Maine,Chelsea,Donald Trump,REP,,True,,,,,
6802,Maine,China,Donald Trump,REP,,True,,,,,
6803,Maine,Clinton,Donald Trump,REP,,True,,,,,
6804,Maine,Farmingdale,Joe Biden,DEM,,True,,,,,
6805,Maine,Fayette,Donald Trump,REP,,True,,,,,
6806,Maine,Gardiner,Joe Biden,DEM,,True,,,,,
6807,Maine,Hallowell,Joe Biden,DEM,,True,,,,,
6808,Maine,Litchfield,Donald Trump,REP,,True,,,,,
6809,Maine,Manchester,Joe Biden,DEM,,True,,,,,
6810,Maine,Monmouth,Donald Trump,REP,,True,,,,,
6811,Maine,Mount Vernon,Joe Biden,DEM,,True,,,,,
6812,Maine,Oakland,Donald Trump,REP,,True,,,,,
6813,Maine,Pittston,Donald Trump,REP,,True,,,,,
6814,Maine,Randolph,Donald Trump,REP,,True,,,,,
6815,Maine,Readfield,Joe Biden,DEM,,True,,,,,
6816,Maine,Rome,Donald Trump,REP,,True,,,,,
6817,Maine,Sidney,Donald Trump,REP,,True,,,,,
6818,Maine,Unity,Donald Trump,REP,,True,,,,,
6819,Maine,Vassalboro,Donald Trump,REP,,True,,,,,
6820,Maine,Vienna,Donald Trump,REP,,True,,,,,
6821,Maine,Waterville,Joe Biden,DEM,,True,,,,,
6822,Maine,Wayne,Joe Biden,DEM,,True,,,,,
6823,Maine,West Gardiner,Donald Trump,REP,,True,,,,,
6824,Maine,Windsor,Donald Trump,REP,,True,,,,,
6825,Maine,Winslow,Donald Trump,REP,,True,,,,,
6826,Maine,Winthrop,Joe Biden,DEM,,True,,,,,
6827,Maine,Appleton,Joe Biden,DEM,,True,,,,,
6828,Maine,Camden,Joe Biden,DEM,,True,,,,,
6829,Maine,Cushing,Donald Trump,REP,,True,,,,,
6830,Maine,Friendship,Donald Trump,REP,,True,,,,,
6831,Maine,Hope,Joe Biden,DEM,,True,,,,,
6832,Maine,Isle Au Haut,Joe Biden,DEM,,True,,,,,
6833,Maine,Matinicus Isle Plt.,Joe Biden,DEM,,True,,,,,
6834,Maine,North Haven,Joe Biden,DEM,,True,,,,,
6835,Maine,Owl's Head,Joe Biden,DEM,,True,,,,,
6836,Maine,Rockland,Joe Biden,DEM,,True,,,,,
6837,Maine,Rockport,Joe Biden,DEM,,True,,,,,
6838,Maine,St. George,Joe Biden,DEM,,True,,,,,
6839,Maine,South Thomaston,Joe Biden,DEM,,True,,,,,
6840,Maine,Thomaston,Joe Biden,DEM,,True,,,,,
6841,Maine,Union,Donald Trump,REP,,True,,,,,
6842,Maine,Vinalhaven,Joe Biden,DEM,,True,,,,,
6843,Maine,Warren,Donald Trump,REP,,True,,,,,
6844,Maine,Washington,Donald Trump,REP,,True,45.134,-67.224,3011.0,33.0,
6850,Maine,Alna,Joe Biden,DEM,,True,,,,,
6851,Maine,Boothbay,Joe Biden,DEM,,True,,,,,
6852,Maine,Boothbay Harbor,Joe Biden,DEM,,True,,,,,
6853,Maine,Bremen,Joe Biden,DEM,,True,,,,,
6854,Maine,Bristol,Joe Biden,DEM,,True,,,,,
6855,Maine,Damariscotta,Joe Biden,DEM,,True,,,,,
6856,Maine,Dresden,Donald Trump,REP,,True,,,,,
6857,Maine,Edgecomb,Joe Biden,DEM,,True,,,,,
6858,Maine,Jefferson,Donald Trump,REP,,True,,,,,
6859,Maine,Monhegan Plt.,Joe Biden,DEM,,True,,,,,
6860,Maine,Newcastle,Joe Biden,DEM,,True,,,,,
6861,Maine,Nobleboro,Joe Biden,DEM,,True,,,,,
6862,Maine,Somerville,Donald Trump,REP,,True,,,,,
6863,Maine,South Bristol,Joe Biden,DEM,,True,,,,,
6864,Maine,Southport,Joe Biden,DEM,,True,,,,,
6865,Maine,Waldoboro,Donald Trump,REP,,True,,,,,
6866,Maine,Westport,Joe Biden,DEM,,True,,,,,
6867,Maine,Whitefield,Donald Trump,REP,,True,,,,,
6868,Maine,Wiscasset,Joe Biden,DEM,,True,,,,,
6869,Maine,Andover,Donald Trump,REP,,True,,,,,
6870,Maine,Bethel,Joe Biden,DEM,,True,,,,,
6871,Maine,Brownfield,Joe Biden,DEM,,True,,,,,
6872,Maine,Buckfield,Donald Trump,REP,,True,,,,,
6873,Maine,Byron,Donald Trump,REP,,True,,,,,
6874,Maine,Canton,Donald Trump,REP,,True,,,,,
6875,Maine,Denmark,Joe Biden,DEM,,True,,,,,
6876,Maine,Dixfield,Donald Trump,REP,,True,,,,,
6877,Maine,Fryeburg,Joe Biden,DEM,,True,,,,,
6878,Maine,Gilead,Donald Trump,REP,,True,,,,,
6879,Maine,Greenwood,Joe Biden,DEM,,True,,,,,
6880,Maine,Hanover,Joe Biden,DEM,,True,,,,,
6881,Maine,Hartford,Donald Trump,REP,,True,,,,,
6882,Maine,Hebron,Donald Trump,REP,,True,,,,,
6883,Maine,Hiram,Donald Trump,REP,,True,,,,,
6884,Maine,Lincoln Plt.,Donald Trump,REP,,True,,,,,
6885,Maine,Lovell,Joe Biden,DEM,,True,,,,,
6886,Maine,Magalloway Plt.,Donald Trump,REP,,True,,,,,
6887,Maine,Mexico,Donald Trump,REP,,True,,,,,
6888,Maine,Newry,Joe Biden,DEM,,True,,,,,
6889,Maine,Norway,Joe Biden,DEM,,True,,,,,
6890,Maine,Otisfield,Donald Trump,REP,,True,,,,,
6891,Maine,Oxford,Donald Trump,REP,,True,44.219,-70.5113,1842.0,183.0,
6893,Maine,Paris,Donald Trump,REP,,True,,,,,
6894,Maine,Peru,Donald Trump,REP,,True,,,,,
6895,Maine,Porter,Donald Trump,REP,,True,,,,,
6896,Maine,Roxbury,Donald Trump,REP,,True,,,,,
6897,Maine,Rumford,Donald Trump,REP,,True,,,,,
6898,Maine,Stoneham,Donald Trump,REP,,True,,,,,
6899,Maine,Stow,Joe Biden,DEM,,True,,,,,
6900,Maine,Sumner,Donald Trump,REP,,True,,,,,
6901,Maine,Sweden,Joe Biden,DEM,,True,,,,,
6902,Maine,Upton,Donald Trump,REP,,True,,,,,
6903,Maine,Waterford,Donald Trump,REP,,True,,,,,
6904,Maine,West Paris,Donald Trump,REP,,True,,,,,
6905,Maine,Woodstock,Donald Trump,REP,,True,,,,,
6906,Maine,Alton,Donald Trump,REP,,True,,,,,
6907,Maine,Bangor,Joe Biden,DEM,,True,,,,,
6908,Maine,Bradford,Donald Trump,REP,,True,,,,,
6909,Maine,Bradley,Donald Trump,REP,,True,,,,,
6910,Maine,Brewer,Donald Trump,REP,,True,,,,,
6911,Maine,Burlington,Donald Trump,REP,,True,,,,,
6912,Maine,Carmel,Donald Trump,REP,,True,,,,,
6913,Maine,Carroll Plt.,Donald Trump,REP,,True,,,,,
6914,Maine,Charleston,Donald Trump,REP,,True,,,,,
6915,Maine,Chester,Donald Trump,REP,,True,,,,,
6916,Maine,Clifton,Donald Trump,REP,,True,,,,,
6917,Maine,Corinna,Donald Trump,REP,,True,,,,,
6918,Maine,Corinth,Donald Trump,REP,,True,,,,,
6919,Maine,Dexter,Donald Trump,REP,,True,,,,,
6920,Maine,Dixmont,Donald Trump,REP,,True,,,,,
6921,Maine,Drew Plt.,Donald Trump,REP,,True,,,,,
6922,Maine,East Millinocket,Donald Trump,REP,,True,,,,,
6923,Maine,Eddington,Donald Trump,REP,,True,,,,,
6924,Maine,Edinburg,Donald Trump,REP,,True,,,,,
6925,Maine,Enfield,Donald Trump,REP,,True,,,,,
6926,Maine,Etna,Donald Trump,REP,,True,,,,,
6927,Maine,Exeter,Donald Trump,REP,,True,,,,,
6928,Maine,Garland,Donald Trump,REP,,True,,,,,
6929,Maine,Glenburn,Donald Trump,REP,,True,,,,,
6930,Maine,Greenbush,Donald Trump,REP,,True,,,,,
6931,Maine,Hampden,Joe Biden,DEM,,True,,,,,
6932,Maine,Hermon,Donald Trump,REP,,True,,,,,
6933,Maine,Holden,Donald Trump,REP,,True,,,,,
6934,Maine,Howland,Donald Trump,REP,,True,,,,,
6935,Maine,Hudson,Donald Trump,REP,,True,,,,,
6936,Maine,Kenduskeag,Donald Trump,REP,,True,,,,,
6937,Maine,LaGrange,Donald Trump,REP,,True,,,,,
6938,Maine,Lakeville,Donald Trump,REP,,True,,,,,
6939,Maine,Lee,Donald Trump,REP,,True,,,,,
6940,Maine,Levant,Donald Trump,REP,,True,,,,,
6941,Maine,Lincoln,Donald Trump,REP,,True,,,,,
6942,Maine,Lowell,Donald Trump,REP,,True,,,,,
6943,Maine,Mattawamkeag,Donald Trump,REP,,True,,,,,
6944,Maine,Maxfield,Donald Trump,REP,,True,,,,,
6945,Maine,Medway,Donald Trump,REP,,True,,,,,
6946,Maine,Milford,Donald Trump,REP,,True,,,,,
6947,Maine,Millinocket,Donald Trump,REP,,True,,,,,
6948,Maine,Mount Chase,Donald Trump,REP,,True,,,,,
6949,Maine,Newburgh,Donald Trump,REP,,True,,,,,
6950,Maine,Newport,Donald Trump,REP,,True,,,,,
6951,Maine,Old Town,Joe Biden,DEM,,True,,,,,
6952,Maine,Orono,Joe Biden,DEM,,True,,,,,
6953,Maine,Orrington,Donald Trump,REP,,True,,,,,
6954,Maine,Passadumkeag,Donald Trump,REP,,True,,,,,
6955,Maine,Patten,Donald Trump,REP,,True,,,,,
6956,Maine,Plymouth,Donald Trump,REP,,True,,,,,
6957,Maine,Seboeis Plt.,Joe Biden,DEM,,True,,,,,
6958,Maine,Springfield,Donald Trump,REP,,True,,,,,
6959,Maine,Stacyville,Donald Trump,REP,,True,,,,,
6960,Maine,Stetson,Donald Trump,REP,,True,,,,,
6961,Maine,Veazie,Joe Biden,DEM,,True,,,,,
6962,Maine,Webster Plt.,Donald Trump,REP,,True,,,,,
6963,Maine,Winn,Donald Trump,REP,,True,,,,,
6964,Maine,Woodville,Donald Trump,REP,,True,,,,,
6965,Maine,Abbot,Donald Trump,REP,,True,,,,,
