,state,county,candidate,party,total_votes,won,lat,lng,population,density,ln_total_votes
629,Florida,Nassau,Donald Trump,REP,888.0,True,30.635,-81.5678,13346.0,222.0,2.948412965778601
634,Florida,Okaloosa,Donald Trump,REP,13622.0,True,30.7477,-86.5785,24687.0,575.0,4.13424087594659
648,Florida,Okeechobee,Donald Trump,REP,7893.0,True,27.2413,-80.8298,5574.0,530.0,3.8972421028053654
651,Florida,Orange,Joe Biden,DEM,2712.0,True,28.4773,-81.337,1792047.0,994.0,3.433289685195026
699,Florida,Osceola,Joe Biden,DEM,6125.0,True,28.3041,-81.4169,366003.0,1299.0,3.78710609303657
705,Florida,Palm Beach,Joe Biden,DEM,11586.0,True,26.7469,-80.132,111006.0,796.0,4.063933524163039
762,Florida,Pasco,Donald Trump,REP,17603.0,True,28.2409,-82.1797,79795.0,652.0,4.245586688974214
796,Florida,Pinellas,Joe Biden,DEM,6577.0,True,27.7931,-82.6652,264001.0,1648.0,3.8180278418592564
833,Florida,Polk,Donald Trump,REP,7077.0,True,28.0557,-81.9545,300268.0,643.0,3.849849195605258
873,Florida,Putnam,Donald Trump,REP,87.0,True,29.6493,-81.6705,10388.0,411.0,1.9395192526186185
879,Florida,St. Johns,Donald Trump,REP,12285.0,True,29.8976,-81.31,78386.0,610.0,4.0893751608160995
892,Florida,St. Lucie,Donald Trump,REP,915.0,True,27.2796,-80.3884,435182.0,634.0,2.9614210940664485
902,Florida,Santa Rosa,Donald Trump,REP,279.0,True,30.4174,-86.8907,223951.0,625.0,2.4456042032735974
935,Florida,Sarasota,Donald Trump,REP,372.0,True,27.3387,-82.5432,727388.0,1518.0,2.5705429398818973
963,Florida,Seminole,Joe Biden,DEM,2296.0,True,28.7891,-81.2757,60337.0,987.0,3.3609718837259357
979,Florida,Sumter,Donald Trump,REP,3142.0,True,28.9034,-81.9887,119296.0,963.0,3.4972061807039547
986,Florida,Suwannee,Donald Trump,REP,6358.0,True,30.2957,-82.9847,6929.0,350.0,3.803320523578754
988,Florida,Taylor,Donald Trump,REP,527.0,True,30.109,-83.5821,6884.0,281.0,2.7218106152125467
