state,county,Population 18 to 24 years with Bachelor's degree or higher,Population 25 years and over with Bachelor's degree or higher
Kentucky,Logan,60,3189
Kentucky,Lyon,25,1018
Kentucky,McCracken,338,11787
Kentucky,McCreary,64,1038
Kentucky,McLean,17,934
Kentucky,Madison,1191,18157
Kentucky,Magoffin,75,903
Kentucky,Marion,74,1864
Kentucky,Marshall,101,4745
Kentucky,Martin,18,895
Kentucky,Mason,90,2531
Kentucky,Meade,26,3589
Kentucky,Menifee,74,555
Kentucky,Mercer,25,2817
Kentucky,Metcalfe,21,917
Kentucky,Monroe,20,999
Kentucky,Montgomery,74,2988
Kentucky,Morgan,56,1475
Kentucky,Muhlenberg,39,2843
Kentucky,Nelson,172,6057
Kentucky,Nicholas,35,438
Kentucky,Ohio,148,2128
Kentucky,Oldham,509,18929
Kentucky,Owen,173,1229
Kentucky,Owsley,0,459
Kentucky,Pendleton,75,1430
Kentucky,Perry,47,2647
Kentucky,Pike,476,5801
Kentucky,Powell,32,1462
Kentucky,Pulaski,313,7681
Kentucky,Robertson,1,210
Kentucky,Rockcastle,52,1530
Kentucky,Rowan,229,3661
Kentucky,Russell,40,1941
Kentucky,Scott,587,11131
Kentucky,Shelby,473,9243
Kentucky,Simpson,16,1480
Kentucky,Spencer,129,2832
Kentucky,Taylor,225,3939
Kentucky,Todd,47,1179
Kentucky,Trigg,34,1976
Kentucky,Trimble,42,904
Kentucky,Union,31,1050
Kentucky,Warren,2081,25693
Kentucky,Washington,54,1678
Kentucky,Wayne,97,1953
Kentucky,Webster,2,933
Kentucky,Whitley,348,4613
Kentucky,Wolfe,19,337
Kentucky,Woodford,201,6751
Louisiana,Acadia Parish,196,6310
Louisiana,Allen Parish,135,2197
Louisiana,Ascension Parish,944,22442
Louisiana,Assumption Parish,94,1990
Louisiana,Avoyelles Parish,74,3405
Louisiana,Beauregard Parish,239,4569
Louisiana,Bienville Parish,79,1155
Louisiana,Bossier Parish,945,21390
Louisiana,Caddo Parish,1399,40375
Louisiana,Calcasieu Parish,1632,29441
Louisiana,Caldwell Parish,0,998
Louisiana,Cameron Parish,40,832
Louisiana,Catahoula Parish,23,1049
Louisiana,Claiborne Parish,46,1502
Louisiana,Concordia Parish,58,1752
Louisiana,De Soto Parish,48,2658
Louisiana,East Baton Rouge Parish,7943,102959
Louisiana,East Carroll Parish,0,400
Louisiana,East Feliciana Parish,12,1887
Louisiana,Evangeline Parish,51,2830
Louisiana,Franklin Parish,35,1773
Louisiana,Grant Parish,196,1606
Louisiana,Iberia Parish,89,7087
Louisiana,Iberville Parish,167,3710
Louisiana,Jackson Parish,71,1519
Louisiana,Jefferson Parish,4153,84419
Louisiana,Jefferson Davis Parish,85,3852
Louisiana,Lafayette Parish,1758,54197
Louisiana,Lafourche Parish,546,11310
Louisiana,LaSalle Parish,11,1573
Louisiana,Lincoln Parish,1121,9051
Louisiana,Livingston Parish,584,18280
Louisiana,Madison Parish,21,1132
Louisiana,Morehouse Parish,122,2137
Louisiana,Natchitoches Parish,220,4591
Louisiana,Orleans Parish,3704,106076
Louisiana,Ouachita Parish,1439,25352
Louisiana,Plaquemines Parish,166,2808
Louisiana,Pointe Coupee Parish,0,2323
Louisiana,Rapides Parish,599,18804
Louisiana,Red River Parish,14,762
Louisiana,Richland Parish,31,2164
Louisiana,Sabine Parish,105,2169
Louisiana,St. Bernard Parish,187,4272
Louisiana,St. Charles Parish,595,10050
Louisiana,St. Helena Parish,4,1191
Louisiana,St. James Parish,116,2456
Louisiana,St. John the Baptist Parish,426,4939
Louisiana,St. Landry Parish,111,8111
Louisiana,St. Martin Parish,269,5415
Louisiana,St. Mary Parish,307,3339
Louisiana,St. Tammany Parish,2083,60733
Louisiana,Tangipahoa Parish,775,19178
Louisiana,Tensas Parish,17,594
Louisiana,Terrebonne Parish,640,11691
Louisiana,Union Parish,0,2703
Louisiana,Vermilion Parish,247,6447
Louisiana,Vernon Parish,420,5354
Louisiana,Washington Parish,212,3728
Louisiana,Webster Parish,178,4038
Louisiana,West Baton Rouge Parish,134,4087
Louisiana,West Carroll Parish,9,878
Louisiana,West Feliciana Parish,84,2808
Louisiana,Winn Parish,46,1699
Maine,Androscoggin,942,17097
Maine,Aroostook,399,9897
Maine,Cumberland,4686,102916
Maine,Franklin,251,5727
Maine,Hancock,435,14786
Maine,Kennebec,1244,25904
Maine,Knox,83,10334
Maine,Lincoln,259,9559
Maine,Oxford,338,8932
Maine,Penobscot,1490,30954
Maine,Piscataquis,83,2430
Maine,Sagadahoc,129,10048
Maine,Somerset,252,6739
Maine,Waldo,388,9305
Maine,Washington,98,5505
Maine,York,2247,49042
Maryland,Allegany,685,9635
Maryland,Anne Arundel,6645,170888
Maryland,Baltimore,10072,229013
Maryland,Calvert,1039,21621
Maryland,Caroline,180,4307
Maryland,Carroll,2386,43310
Maryland,Cecil,867,18035
Maryland,Charles,1266,32618
Maryland,Dorchester,237,4595
Maryland,Frederick,2915,72798
Maryland,Garrett,24,5056
Maryland,Harford,2562,65126
Maryland,Howard,5670,136792
Maryland,Kent,138,5050
Maryland,Montgomery,19797,427967
Maryland,Prince George's,10620,213156
Maryland,Queen Anne's,632,13053
Maryland,St. Mary's,1416,24107
Maryland,Somerset,174,2703
Maryland,Talbot,107,11134
Maryland,Washington,1122,23637
Maryland,Wicomico,1081,18258
Maryland,Worcester,283,11804
Maryland,Baltimore city,7968,138515
Massachusetts,Barnstable,2824,74952
Massachusetts,Berkshire,1155,32735
Massachusetts,Bristol,6343,115519
Massachusetts,Dukes,121,5857
Massachusetts,Essex,12044,222503
Massachusetts,Franklin,698,20456
Massachusetts,Hampden,3769,87433
Massachusetts,Hampshire,3042,48952
Massachusetts,Middlesex,42410,644709
Massachusetts,Nantucket,174,4212
Massachusetts,Norfolk,16517,270144
Massachusetts,Plymouth,6913,138366
Massachusetts,Suffolk,24031,266193
Massachusetts,Worcester,12510,212111
Michigan,Alcona,8,1580
Michigan,Alger,34,1352
Michigan,Allegan,815,18782
Michigan,Alpena,71,3797
Michigan,Antrim,130,5191
Michigan,Arenac,12,1466
Michigan,Baraga,62,940
Michigan,Barry,308,9858
Michigan,Bay,516,14722
Michigan,Benzie,122,4345
Michigan,Berrien,1078,29707
Michigan,Branch,115,4514
Michigan,Calhoun,579,19586
Michigan,Cass,202,7665
Michigan,Charlevoix,93,6274
Michigan,Cheboygan,122,4271
Michigan,Chippewa,393,5913
Michigan,Clare,74,2732
Michigan,Clinton,803,17498
Michigan,Crawford,79,2010
Michigan,Delta,150,5079
Michigan,Dickinson,97,4555
Michigan,Eaton,1040,22547
Michigan,Emmet,183,8416
Michigan,Genesee,2530,60164
Michigan,Gladwin,135,2703
Michigan,Gogebic,41,2250
Michigan,Grand Traverse,752,25740
Michigan,Gratiot,335,4664
Michigan,Hillsdale,228,5942
Michigan,Houghton,941,7098
Michigan,Huron,144,3683
Michigan,Ingham,7228,69765
Michigan,Ionia,291,7468
Michigan,Iosco,105,3027
Michigan,Iron,86,1634
Michigan,Isabella,1925,11551
Michigan,Jackson,557,24870
Michigan,Kalamazoo,5098,66147
Michigan,Kalkaska,65,1844
Michigan,Kent,9292,159668
Michigan,Keweenaw,27,619
Michigan,Lake,26,1239
Michigan,Lapeer,302,11489
Michigan,Leelanau,106,7858
Michigan,Lenawee,379,14423
Michigan,Livingston,2005,49198
Michigan,Luce,48,946
Michigan,Mackinac,55,2019
Michigan,Macomb,8590,159835
Michigan,Manistee,115,4134
Michigan,Marquette,960,15114
Michigan,Mason,100,4675
Michigan,Mecosta,791,6302
Michigan,Menominee,61,3011
Michigan,Midland,968,20410
Michigan,Missaukee,51,1662
Michigan,Monroe,660,22341
Michigan,Montcalm,249,6452
Michigan,Montmorency,80,1093
Michigan,Muskegon,763,23532
Michigan,Newaygo,145,5859
Michigan,Oakland,19232,427086
Michigan,Oceana,76,3615
Michigan,Ogemaw,32,1936
Michigan,Ontonagon,10,733
Michigan,Osceola,76,2467
Michigan,Oscoda,20,742
Michigan,Otsego,99,4502
Michigan,Ottawa,3761,63605
Michigan,Presque Isle,47,1873
Michigan,Roscommon,99,3102
Michigan,Saginaw,993,29135
Michigan,St. Clair,688,21650
Michigan,St. Joseph,173,6563
Michigan,Sanilac,133,4348
Michigan,Schoolcraft,23,1175
Michigan,Shiawassee,226,8558
Michigan,Tuscola,217,5116
Michigan,Van Buren,233,10828
Michigan,Washtenaw,14532,131273
Michigan,Wayne,15143,299012
Michigan,Wexford,110,4583
Minnesota,Aitkin,46,2280
Minnesota,Anoka,2845,73391
Minnesota,Becker,216,6035
Minnesota,Beltrami,465,8628
Minnesota,Benton,348,6221
Minnesota,Big Stone,84,654
Minnesota,Blue Earth,1280,13651
Minnesota,Brown,288,3895
Minnesota,Carlton,153,5666
Minnesota,Carver,1227,33289
Minnesota,Cass,45,5397
Minnesota,Chippewa,184,1622
Minnesota,Chisago,322,8656
Minnesota,Clay,697,13284
Minnesota,Clearwater,37,1069
Minnesota,Cook,39,1934
Minnesota,Cottonwood,23,1596
Minnesota,Crow Wing,303,12150
Minnesota,Dakota,6130,122588
Minnesota,Dodge,128,3779
Minnesota,Douglas,164,7366
Minnesota,Faribault,86,1939
Minnesota,Fillmore,144,3256
Minnesota,Freeborn,139,3713
Minnesota,Goodhue,461,8621
Minnesota,Grant,34,758
Minnesota,Hennepin,24730,445598
Minnesota,Houston,163,3226
Minnesota,Hubbard,109,4419
Minnesota,Isanti,325,4998
Minnesota,Itasca,174,8071
Minnesota,Jackson,107,1611
Minnesota,Kanabec,52,1695
Minnesota,Kandiyohi,419,7041
Minnesota,Kittson,12,808
Minnesota,Koochiching,72,1402
Minnesota,Lac qui Parle,100,924
Minnesota,Lake,14,2253
Minnesota,Lake of the Woods,15,598
Minnesota,Le Sueur,278,4493
Minnesota,Lincoln,60,764
Minnesota,Lyon,252,4313
Minnesota,McLeod,218,4296
Minnesota,Mahnomen,20,432
Minnesota,Marshall,73,1210
Minnesota,Martin,47,3050
Minnesota,Meeker,86,2871
Minnesota,Mille Lacs,124,2866
Minnesota,Morrison,197,3974
Minnesota,Mower,298,6049
Minnesota,Murray,66,1230
Minnesota,Nicollet,391,7646
Minnesota,Nobles,217,2255
Minnesota,Norman,96,958
Minnesota,Olmsted,2797,49413
Minnesota,Otter Tail,339,10793
Minnesota,Pennington,114,1911
Minnesota,Pine,106,3287
Minnesota,Pipestone,80,1201
Minnesota,Polk,229,5756
Minnesota,Pope,67,1822
Minnesota,Ramsey,8944,157352
Minnesota,Red Lake,7,478
Minnesota,Redwood,130,1972
Minnesota,Renville,72,1534
Minnesota,Rice,526,12079
Minnesota,Rock,62,1538
Minnesota,Roseau,114,1974
Minnesota,St. Louis,3199,41142
Minnesota,Scott,1825,38960
Minnesota,Sherburne,675,16141
Minnesota,Sibley,114,1710
Minnesota,Stearns,2198,27579
Minnesota,Steele,264,6621
Minnesota,Stevens,215,1755
Minnesota,Swift,72,1408
Minnesota,Todd,114,2375
Minnesota,Traverse,10,381
Minnesota,Wabasha,201,3785
Minnesota,Wadena,85,1564
Minnesota,Waseca,142,2850
Minnesota,Washington,3555,79942
Minnesota,Watonwan,76,1304
Minnesota,Wilkin,46,1054
Minnesota,Winona,590,9868
Minnesota,Wright,1134,27402
Minnesota,Yellow Medicine,35,1135
Mississippi,Adams,34,3874
Mississippi,Alcorn,97,4562
Mississippi,Amite,58,1086
Mississippi,Attala,59,1835
Mississippi,Benton,55,598
Mississippi,Bolivar,124,5164
Mississippi,Calhoun,36,1110
Mississippi,Carroll,48,1091
Mississippi,Chickasaw,0,1411
Mississippi,Choctaw,29,1171
Mississippi,Claiborne,66,1083
Mississippi,Clarke,39,1390
Mississippi,Clay,60,2721
Mississippi,Coahoma,90,2534
Mississippi,Copiah,117,3167
Mississippi,Covington,75,1821
Mississippi,DeSoto,989,29732
Mississippi,Forrest,724,13000
Mississippi,Franklin,0,677
Mississippi,George,168,2241
Mississippi,Greene,1,1080
Mississippi,Grenada,23,2867
Mississippi,Hancock,182,8953
Mississippi,Harrison,1900,32522
Mississippi,Hinds,2107,46135
Mississippi,Holmes,96,1278
Mississippi,Humphreys,14,783
Mississippi,Issaquena,0,34
Mississippi,Itawamba,44,2185
Mississippi,Jackson,738,22025
Mississippi,Jasper,67,1686
Mississippi,Jefferson,89,924
Mississippi,Jefferson Davis,31,1130
Mississippi,Jones,207,9344
Mississippi,Kemper,482,801
Mississippi,Lafayette,1366,14616
Mississippi,Lamar,412,13939
Mississippi,Lauderdale,313,10773
Mississippi,Lawrence,23,1522
Mississippi,Leake,36,2361
Mississippi,Lee,452,15282
Mississippi,Leflore,164,3330
Mississippi,Lincoln,161,3687
Mississippi,Lowndes,492,9408
Mississippi,Madison,1967,34977
Mississippi,Marion,22,2186
Mississippi,Marshall,159,3398
Mississippi,Monroe,164,4051
Mississippi,Montgomery,33,1329
Mississippi,Neshoba,150,2534
Mississippi,Newton,44,2263
Mississippi,Noxubee,0,812
Mississippi,Oktibbeha,1422,11070
Mississippi,Panola,139,3693
Mississippi,Pearl River,129,5602
Mississippi,Perry,41,830
Mississippi,Pike,128,4077
Mississippi,Pontotoc,174,3831
Mississippi,Prentiss,2,2385
Mississippi,Quitman,24,530
Mississippi,Rankin,1788,32251
Mississippi,Scott,23,2074
Mississippi,Sharkey,3,564
Mississippi,Simpson,12,3189
Mississippi,Smith,14,1442
Mississippi,Stone,10,1868
Mississippi,Sunflower,113,2864
Mississippi,Tallahatchie,97,1114
Mississippi,Tate,72,3214
Mississippi,Tippah,10,1993
Mississippi,Tishomingo,59,1615
Mississippi,Tunica,0,975
Mississippi,Union,235,2680
Mississippi,Walthall,73,1504
Mississippi,Warren,160,7165
Mississippi,Washington,181,6039
Mississippi,Wayne,199,2721
Mississippi,Webster,67,1185
Mississippi,Wilkinson,0,868
Mississippi,Winston,16,2029
Mississippi,Yalobusha,70,1061
Mississippi,Yazoo,172,2283
Missouri,Adair,684,4280
Missouri,Andrew,243,3251
Missouri,Atchison,75,872
Missouri,Audrain,132,2506
Missouri,Barry,277,3764
Missouri,Barton,22,1527
Missouri,Bates,83,1665
Missouri,Benton,53,2193
Missouri,Bollinger,34,939
Missouri,Boone,4766,51964
Missouri,Buchanan,795,13077
Missouri,Butler,105,3811
Missouri,Caldwell,50,932
Missouri,Callaway,366,7246
Missouri,Camden,69,7762
Missouri,Cape Girardeau,1313,16170
Missouri,Carroll,25,1088
Missouri,Carter,0,617
Missouri,Cass,625,19312
Missouri,Cedar,23,1343
Missouri,Chariton,19,971
Missouri,Christian,266,18058
Missouri,Clark,18,586
Missouri,Clay,1977,54878
Missouri,Clinton,73,3115
Missouri,Cole,978,18796
Missouri,Cooper,119,2683
Missouri,Crawford,11,1994
Missouri,Dade,7,756
Missouri,Dallas,0,1327
Missouri,Daviess,33,1147
Missouri,DeKalb,76,1385
Missouri,Dent,10,1645
Missouri,Douglas,5,1255
Missouri,Dunklin,32,2734
Missouri,Franklin,630,15309
Missouri,Gasconade,73,2274
Missouri,Gentry,17,899
Missouri,Greene,4218,60184
Missouri,Grundy,73,1201
Missouri,Harrison,39,913
Missouri,Henry,55,2438
Missouri,Hickory,44,620
Missouri,Holt,19,589
Missouri,Howard,100,1880
Missouri,Howell,86,4765
Missouri,Iron,18,878
Missouri,Jackson,7840,153485
Missouri,Jasper,830,18021
Missouri,Jefferson,1129,32881
Missouri,Johnson,644,9339
Missouri,Knox,9,409
Missouri,Laclede,236,3629
Missouri,Lafayette,48,4733
Missouri,Lawrence,73,4048
Missouri,Lewis,43,934
Missouri,Lincoln,243,6886
Missouri,Linn,76,1529
Missouri,Livingston,70,2011
Missouri,McDonald,100,1733
Missouri,Macon,92,1823
Missouri,Madison,58,1192
Missouri,Maries,35,999
Missouri,Marion,199,4773
Missouri,Mercer,6,464
Missouri,Miller,67,3318
Missouri,Mississippi,52,1193
Missouri,Moniteau,70,2034
Missouri,Monroe,8,854
Missouri,Montgomery,36,1324
Missouri,Morgan,10,1826
Missouri,New Madrid,94,1445
Missouri,Newton,227,8569
Missouri,Nodaway,199,3405
Missouri,Oregon,30,1116
Missouri,Osage,112,1893
Missouri,Ozark,10,805
Missouri,Pemiscot,54,1286
Missouri,Perry,188,2524
Missouri,Pettis,103,5196
Missouri,Phelps,843,8329
Missouri,Pike,59,1888
Missouri,Platte,1206,30181
Missouri,Polk,268,4246
Missouri,Pulaski,659,8157
Missouri,Putnam,3,684
Missouri,Ralls,63,1126
Missouri,Randolph,74,3072
Missouri,Ray,96,2265
Missouri,Reynolds,3,723
Missouri,Ripley,41,1029
Missouri,St. Charles,4167,110915
Missouri,St. Clair,48,1016
Missouri,Ste. Genevieve,214,2292
Missouri,St. Francois,50,6603
Missouri,St. Louis,15853,307398
Missouri,Saline,137,3364
Missouri,Schuyler,30,280
Missouri,Scotland,42,457
Missouri,Scott,226,5180
Missouri,Shannon,0,848
Missouri,Shelby,13,802
Missouri,Stoddard,48,2519
Missouri,Stone,156,4895
Missouri,Sullivan,34,656
Missouri,Taney,601,8205
Missouri,Texas,86,2678
Missouri,Vernon,167,2406
Missouri,Warren,145,4695
Missouri,Washington,33,1965
Missouri,Wayne,5,952
Missouri,Webster,73,4474
Missouri,Worth,7,263
Missouri,Wright,40,1346
Missouri,St. Louis city,5250,81399
Montana,Beaverhead,120,2102
Montana,Big Horn,101,1402
Montana,Blaine,11,1017
Montana,Broadwater,18,1184
Montana,Carbon,45,2588
Montana,Carter,12,207
Montana,Cascade,629,15230
Montana,Chouteau,23,1154
Montana,Custer,63,2287
Montana,Daniels,0,301
Montana,Dawson,39,1608
Montana,Deer Lodge,11,1440
Montana,Fallon,12,307
Montana,Fergus,42,2224
Montana,Flathead,486,23242
Montana,Gallatin,3093,36859
Montana,Garfield,0,150
Montana,Glacier,70,1899
Montana,Golden Valley,0,139
Montana,Granite,7,775
Montana,Hill,161,2731
Montana,Jefferson,116,3087
Montana,Judith Basin,11,361
Montana,Lake,122,6583
Montana,Lewis and Clark,683,20552
Montana,Liberty,17,384
Montana,Lincoln,14,2999
Montana,McCone,10,209
Montana,Madison,31,2285
Montana,Meagher,12,360
Montana,Mineral,5,726
Montana,Missoula,2077,35675
Montana,Musselshell,63,620
Montana,Park,145,4079
Montana,Petroleum,0,94
Montana,Phillips,2,523
Montana,Pondera,17,975
Montana,Powder River,42,296
Montana,Powell,7,939
Montana,Prairie,0,236
Montana,Ravalli,168,9233
Montana,Richland,102,1370
Montana,Roosevelt,8,1199
Montana,Rosebud,42,1020
Montana,Sanders,12,1727
Montana,Sheridan,25,614
Montana,Silver Bow,235,6573
Montana,Stillwater,3,1798
Montana,Sweet Grass,32,572
Montana,Teton,54,1060
Montana,Toole,6,783
Montana,Treasure,2,146
Montana,Valley,58,1019
Montana,Wheatland,14,303
Montana,Wibaux,28,172
Montana,Yellowstone,907,36078
Nebraska,Adams,274,5221
Nebraska,Antelope,69,788
Nebraska,Arthur,0,74
Nebraska,Banner,0,124
Nebraska,Blaine,0,87
Nebraska,Boone,13,690
Nebraska,Box Butte,14,1332
Nebraska,Boyd,21,266
Nebraska,Brown,42,513
Nebraska,Buffalo,467,10275
Nebraska,Burt,42,1036
Nebraska,Butler,25,1315
Nebraska,Cass,185,5255
Nebraska,Cedar,67,1195
Nebraska,Chase,34,583
Nebraska,Cherry,126,967
Nebraska,Cheyenne,54,1683
Nebraska,Clay,48,846
Nebraska,Colfax,200,980
Nebraska,Cuming,54,1400
Nebraska,Custer,110,1848
Nebraska,Dakota,324,1815
Nebraska,Dawes,268,2039
Nebraska,Dawson,139,2535
Nebraska,Deuel,4,270
Nebraska,Dixon,27,860
Nebraska,Dodge,448,4806
Nebraska,Douglas,7353,148488
Nebraska,Dundy,44,368
Nebraska,Fillmore,42,915
Nebraska,Franklin,18,409
Nebraska,Frontier,41,416
Nebraska,Furnas,53,637
Nebraska,Gage,71,3135
Nebraska,Garden,5,336
Nebraska,Garfield,22,442
Nebraska,Gosper,17,458
Nebraska,Grant,2,106
Nebraska,Greeley,11,284
Nebraska,Hall,388,8361
Nebraska,Hamilton,35,1563
Nebraska,Harlan,62,565
Nebraska,Hayes,0,122
Nebraska,Hitchcock,4,311
Nebraska,Holt,40,1684
Nebraska,Hooker,37,128
Nebraska,Howard,47,972
Nebraska,Jefferson,80,948
Nebraska,Johnson,7,694
Nebraska,Kearney,39,1174
Nebraska,Keith,22,1154
Nebraska,Keya Paha,0,155
Nebraska,Kimball,6,349
Nebraska,Knox,58,1148
Nebraska,Lancaster,7657,78221
Nebraska,Lincoln,78,5264
Nebraska,Logan,0,133
Nebraska,Loup,7,103
Nebraska,McPherson,8,81
Nebraska,Madison,264,5422
Nebraska,Merrick,43,944
Nebraska,Morrill,45,718
Nebraska,Nance,8,461
Nebraska,Nemaha,12,1283
Nebraska,Nuckolls,16,719
Nebraska,Otoe,140,2764
Nebraska,Pawnee,18,293
Nebraska,Perkins,3,542
Nebraska,Phelps,84,1596
Nebraska,Pierce,20,1196
Nebraska,Platte,192,5123
Nebraska,Polk,21,698
Nebraska,Red Willow,169,1678
Nebraska,Richardson,14,1077
Nebraska,Rock,12,295
Nebraska,Saline,111,1724
Nebraska,Sarpy,1802,47811
Nebraska,Saunders,225,4049
Nebraska,Scotts Bluff,199,5554
Nebraska,Seward,191,3342
Nebraska,Sheridan,26,758
Nebraska,Sherman,40,477
Nebraska,Sioux,13,227
Nebraska,Stanton,23,795
Nebraska,Thayer,71,741
Nebraska,Thomas,10,106
Nebraska,Thurston,61,739
Nebraska,Valley,12,807
Nebraska,Washington,180,4491
Nebraska,Wayne,88,1724
Nebraska,Webster,30,554
Nebraska,Wheeler,0,147
Nebraska,York,260,2533
Nevada,Churchill,122,3154
Nevada,Clark,10871,384522
Nevada,Douglas,174,12000
Nevada,Elko,204,5711
Nevada,Esmeralda,0,149
Nevada,Eureka,0,142
Nevada,Humboldt,84,2106
Nevada,Lander,0,479
Nevada,Lincoln,0,602
Nevada,Lyon,0,5586
Nevada,Mineral,0,475
Nevada,Nye,48,4346
Nevada,Pershing,7,530
Nevada,Storey,0,1016
Nevada,Washoe,4088,102156
Nevada,White Pine,0,920
Nevada,Carson City,124,9103
NewHampshire,Belknap,542,14456
NewHampshire,Carroll,290,14058
NewHampshire,Cheshire,785,18044
NewHampshire,Coos,266,4775
NewHampshire,Grafton,1334,26905
NewHampshire,Hillsborough,5755,113726
NewHampshire,Merrimack,1496,38633
NewHampshire,Rockingham,4391,94312
NewHampshire,Strafford,2740,30226
NewHampshire,Sullivan,266,9550
NewJersey,Atlantic,2759,53098
NewJersey,Bergen,18351,333509
NewJersey,Burlington,5580,121559
NewJersey,Camden,6676,112738
NewJersey,Cape May,832,23444
NewJersey,Cumberland,1107,16899
NewJersey,Essex,9944,195110
NewJersey,Gloucester,4063,68388
NewJersey,Hudson,12150,211641
NewJersey,Hunterdon,2254,48426
NewJersey,Mercer,6262,108064
NewJersey,Middlesex,11096,252313
NewJersey,Monmouth,12358,206917
NewJersey,Morris,10648,191526
NewJersey,Ocean,7152,129422
NewJersey,Passaic,6182,98692
NewJersey,Salem,833,9552
NewJersey,Somerset,6660,128232
NewJersey,Sussex,1799,37222
NewJersey,Union,7449,140121
NewJersey,Warren,1331,26189
NewMexico,Bernalillo,5860,165802
NewMexico,Catron,0,476
NewMexico,Chaves,262,7321
NewMexico,Cibola,33,3154
NewMexico,Colfax,24,1954
NewMexico,Curry,202,6170
NewMexico,De Baca,42,125
NewMexico,Doña Ana,2881,39154
NewMexico,Eddy,488,6433
NewMexico,Grant,127,5115
NewMexico,Guadalupe,0,292
NewMexico,Harding,0,80
NewMexico,Hidalgo,17,601
NewMexico,Lea,166,6160
NewMexico,Lincoln,70,3739
NewMexico,Los Alamos,279,9098
NewMexico,Luna,32,2019
NewMexico,McKinley,119,5121
NewMexico,Mora,0,628
NewMexico,Otero,363,8365
NewMexico,Quay,10,927
NewMexico,Rio Arriba,42,4944
NewMexico,Roosevelt,283,2378
NewMexico,Sandoval,548,30989
NewMexico,San Juan,246,12581
NewMexico,San Miguel,146,4346
NewMexico,Santa Fe,714,45681
NewMexico,Sierra,97,1930
NewMexico,Socorro,53,2388
NewMexico,Taos,50,7986
NewMexico,Torrance,78,1659
NewMexico,Union,31,370
NewMexico,Valencia,246,10302
NewYork,Albany,10181,89318
NewYork,Allegany,355,6844
NewYork,Bronx,13904,188933
NewYork,Broome,4001,36742
NewYork,Cattaraugus,371,10496
NewYork,Cayuga,419,12220
NewYork,Chautauqua,816,20617
NewYork,Chemung,559,13970
NewYork,Chenango,263,6475
NewYork,Clinton,1114,13483
NewYork,Columbia,679,15390
NewYork,Cortland,715,8059
NewYork,Delaware,196,7261
NewYork,Dutchess,4058,75216
NewYork,Erie,13279,227537
NewYork,Essex,231,8574
NewYork,Franklin,282,7366
NewYork,Fulton,293,7031
NewYork,Genesee,328,9049
NewYork,Greene,279,8505
NewYork,Hamilton,14,692
NewYork,Herkimer,609,9238
NewYork,Jefferson,938,15932
NewYork,Kings,41188,691506
NewYork,Lewis,203,3370
NewYork,Livingston,701,11718
NewYork,Madison,650,12801
NewYork,Monroe,11755,201890
NewYork,Montgomery,389,6379
NewYork,Nassau,28471,441749
NewYork,New York,49428,777483
NewYork,Niagara,2545,38652
NewYork,Oneida,2645,42289
NewYork,Onondaga,7477,114310
NewYork,Ontario,1281,27855
NewYork,Orange,5102,75297
NewYork,Orleans,98,4832
NewYork,Oswego,1196,16082
NewYork,Otsego,644,13363
NewYork,Putnam,1902,28953
NewYork,Queens,29787,549043
NewYork,Rensselaer,2531,37969
NewYork,Richmond,8090,115246
NewYork,Rockland,4919,85250
NewYork,St. Lawrence,562,16890
NewYork,Saratoga,3977,69240
NewYork,Schenectady,1732,34501
NewYork,Schoharie,321,5279
NewYork,Schuyler,66,3062
NewYork,Seneca,338,5267
NewYork,Steuben,817,16733
NewYork,Suffolk,24660,385916
NewYork,Sullivan,493,14158
NewYork,Tioga,463,9059
NewYork,Tompkins,5308,31848
NewYork,Ulster,1984,43267
NewYork,Warren,662,15496
NewYork,Washington,633,9031
NewYork,Wayne,512,15166
NewYork,Westchester,18718,333530
NewYork,Wyoming,310,5292
NewYork,Yates,226,4072
NorthCarolina,Alamance,1082,28301
NorthCarolina,Alexander,234,3826
NorthCarolina,Alleghany,119,1768
NorthCarolina,Anson,137,1952
NorthCarolina,Ashe,161,4124
NorthCarolina,Avery,67,3171
NorthCarolina,Beaufort,160,7113
NorthCarolina,Bertie,20,2074
NorthCarolina,Bladen,56,4344
NorthCarolina,Brunswick,351,32133
NorthCarolina,Buncombe,1927,79322
NorthCarolina,Burke,449,11037
NorthCarolina,Cabarrus,1870,47123
NorthCarolina,Caldwell,478,9369
NorthCarolina,Camden,35,1524
NorthCarolina,Carteret,302,15036
NorthCarolina,Caswell,235,2609
NorthCarolina,Catawba,1353,25387
NorthCarolina,Chatham,477,23516
NorthCarolina,Cherokee,131,4805
NorthCarolina,Chowan,44,2307
NorthCarolina,Clay,0,2347
NorthCarolina,Cleveland,601,13135
NorthCarolina,Columbus,234,5068
NorthCarolina,Craven,611,16899
NorthCarolina,Cumberland,2707,53183
NorthCarolina,Currituck,163,4913
NorthCarolina,Dare,343,10558
NorthCarolina,Davidson,1366,22226
NorthCarolina,Davie,172,7397
NorthCarolina,Duplin,218,5838
NorthCarolina,Durham,6847,108453
NorthCarolina,Edgecombe,196,5879
NorthCarolina,Forsyth,4293,86341
NorthCarolina,Franklin,358,10046
NorthCarolina,Gaston,1253,33981
NorthCarolina,Gates,64,1045
NorthCarolina,Graham,0,819
NorthCarolina,Granville,293,10103
NorthCarolina,Greene,33,1561
NorthCarolina,Guilford,5684,130366
NorthCarolina,Halifax,110,5291
NorthCarolina,Harnett,928,19342
